precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:28:08",1714,1714,0,1022,923,0,99,2000,994,909,14,12,246,102,128,12,177,2,2,5,2,32,26,8,83,69,3
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:44:24",1746,1745,1,908,880,1,27,2000,3,894,14,18,216,133,77,9,243,2,6,0,6,19,20,9,62,71,3
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:15:37",1733,1733,0,761,735,0,26,1800,1039,707,54,6,395,14,125,3,50,2,4,5,1,42,19,2,12,16,11
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:10:07",973,973,0,598,562,0,36,1000,402,558,40,4,207,11,96,55,61,4,2,5,4,56,19,4,16,12,2
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:12:32",890,890,0,457,438,0,19,1000,543,429,28,0,254,2,127,0,10,3,1,2,16,0,5,0,8,1,0
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:34",1187,1183,4,566,532,4,30,1400,834,526,40,2,257,14,95,12,66,1,2,2,3,28,11,2,16,14,1
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:17",632,632,0,335,270,0,65,1100,765,333,2,18,83,37,36,5,84,2,3,0,0,11,4,1,17,31,1
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:23",344,344,0,165,149,0,16,401,236,153,12,0,52,3,39,0,17,4,1,0,0,24,0,0,4,5,4
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:23",491,491,0,227,217,0,10,500,273,218,9,3,86,2,62,1,22,2,1,0,0,22,1,0,4,8,4
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:36:41",634,634,0,374,364,0,10,800,426,363,11,3,217,1,70,2,26,1,6,2,2,17,2,1,9,1,3
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:54:49",598,584,14,264,248,2,14,600,336,239,25,4,107,3,53,0,8,2,0,0,1,53,4,1,2,0,1
37,TIMIŞ,"CAMIN CULTURAL UNIP",537,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:20:22",195,195,0,143,121,0,22,200,57,135,8,0,59,1,43,3,5,1,1,1,0,4,2,0,6,4,5
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:19:11",683,681,2,516,476,0,40,700,184,477,39,1,259,7,131,2,19,1,3,1,2,27,4,0,2,4,14
37,TIMIŞ,"CĂMINUL CULTURAL BALINŢ",298,BALINŢ,155546,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:52:28",394,394,0,237,209,0,28,504,267,227,10,13,69,8,42,4,38,4,6,2,1,26,5,1,3,2,3
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:01:25",112,112,0,91,87,0,4,200,109,87,4,0,49,3,29,0,1,0,0,0,0,3,1,0,0,1,0
37,TIMIŞ,"CĂMINUL CULTURAL BÂRNA",310,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:38:29",414,414,0,286,274,0,12,700,414,257,29,0,157,1,55,6,4,0,1,2,0,18,3,2,2,1,5
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:25:54",515,515,0,384,354,0,30,800,416,383,1,6,187,12,63,5,48,1,4,0,2,19,7,2,11,12,4
37,TIMIŞ,"CĂMINUL CULTURAL BERECUŢA",332,BIRDA,159366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:53:46",163,163,0,93,89,0,4,300,207,92,1,2,61,2,16,0,1,0,0,0,0,6,2,0,0,0,2
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",548,SĂCĂLAZ,158564,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:34:00",1039,1039,0,669,611,0,58,1100,431,646,23,7,310,22,163,4,42,1,6,6,1,34,12,2,13,14,9
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",549,SĂCĂLAZ,158564,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:26:04",1062,1062,0,668,618,0,50,1100,432,640,28,10,287,8,202,3,39,3,4,1,3,33,9,2,16,15,5
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MIC",550,SĂCĂLAZ,158564,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:44:41",783,782,1,444,422,1,21,900,456,426,18,5,223,9,102,2,19,0,1,1,0,28,6,3,14,8,5
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:10:27",511,511,0,316,308,0,8,600,284,294,22,5,146,3,91,4,8,0,3,0,2,14,3,1,5,5,4
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:24:43",1930,1930,0,1052,1022,0,30,2200,1148,978,74,10,447,29,155,103,94,2,6,10,6,55,11,2,25,20,3
37,TIMIŞ,"CĂMINUL CULTURAL BOTINEŞTI",311,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:57:35",145,144,1,120,108,1,11,200,80,95,25,1,65,0,13,3,3,0,0,1,0,4,0,1,1,1,2
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:50:32",398,398,0,260,257,0,3,400,140,247,13,3,177,0,50,4,1,2,0,0,0,6,1,0,2,1,0
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:21:45",215,207,8,142,133,1,8,304,162,137,5,0,54,2,40,6,9,0,0,2,0,11,0,1,3,5,4
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:47:12",1799,1785,14,1246,1157,14,75,2000,754,1203,43,15,450,61,180,62,274,4,10,9,2,30,19,5,45,22,15
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:59:27",1806,1806,0,1819,1806,0,13,1900,1135,700,65,7,239,11,180,9,122,1,2,0,0,67,4,5,14,21,18
37,TIMIŞ,"CĂMINUL CULTURAL CADAR",593,TORMAC,159035,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:04:36",223,223,0,132,118,0,14,300,168,121,9,9,66,3,21,2,7,0,1,0,0,8,0,0,0,1,3
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:50:00",1734,1704,30,825,795,7,23,1800,975,792,33,7,256,30,234,50,62,1,4,4,5,42,26,4,29,26,12
37,TIMIŞ,"CĂMINUL CULTURAL CĂRPINIŞ",347,CĂRPINIŞ,156213,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:39:29",1760,1757,3,708,693,0,15,2000,1292,675,33,17,360,10,118,2,63,3,3,5,6,40,11,1,14,15,7
37,TIMIŞ,"CĂMINUL CULTURAL CHECEA",353,CHECEA,159375,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:15:01",1749,1749,0,863,845,0,18,2100,1237,809,54,15,492,2,172,4,24,0,1,0,3,41,11,4,5,30,5
37,TIMIŞ,"CĂMINUL CULTURAL CHEREŞTUR",316,"BEBA VECHE",155724,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:27:49",414,393,21,278,257,5,16,400,122,266,12,44,109,4,63,6,10,0,0,3,1,11,9,1,2,1,2
37,TIMIŞ,"CĂMINUL CULTURAL CIREŞU",368,CRICIOVA,156534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:59:09",278,278,0,218,197,0,21,400,182,213,5,6,121,4,49,0,3,0,0,2,0,20,2,1,2,1,2
37,TIMIŞ,"CĂMINUL CULTURAL CLICIOVA",325,BETHAUSEN,155840,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:21:49",346,343,3,227,214,3,10,418,191,210,17,2,75,0,65,7,21,0,0,2,0,22,2,0,4,4,6
37,TIMIŞ,"CĂMINUL CULTURAL COMLOŞU MARE",358,"COMLOŞU MARE",156437,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:04:10",1521,1521,0,714,702,0,12,1800,1086,650,64,8,427,11,99,5,10,1,4,3,2,49,5,1,9,8,8
37,TIMIŞ,"CĂMINUL CULTURAL COŞAVA",371,CURTEA,156589,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:28:33",468,450,18,433,392,18,23,600,208,372,20,2,250,12,56,3,5,0,1,2,0,26,8,2,5,0,0
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:33:48",651,651,0,424,391,0,33,900,477,414,9,1,185,13,70,6,47,4,2,3,6,39,8,1,13,12,4
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU DE SUS",464,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:09",161,161,0,96,87,0,9,200,104,87,9,0,38,2,25,2,7,0,0,2,0,8,0,0,2,1,0
37,TIMIŞ,"CĂMINUL CULTURAL CRALOVĂŢ",588,"TOPOLOVĂŢU MARE",158966,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:52:03",88,88,0,57,38,0,19,102,45,56,1,1,14,1,18,0,7,1,0,1,0,4,1,3,3,2,0
37,TIMIŞ,"CĂMINUL CULTURAL CRICIOVA",367,CRICIOVA,156534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:31",610,610,0,506,470,0,36,900,394,480,26,5,274,4,139,2,12,3,2,1,0,12,4,2,10,8,2
37,TIMIŞ,"CĂMINUL CULTURAL CRIVOBARA",565,SECAŞ,158608,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:29:36",78,75,3,85,52,3,30,100,15,78,7,0,42,2,12,3,10,0,1,1,0,1,2,1,1,2,0
37,TIMIŞ,"CĂMINUL CULTURAL CURTEA",370,CURTEA,156589,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:06:12",552,544,8,431,418,5,8,700,269,402,29,7,176,4,93,8,73,0,2,1,0,24,6,3,1,3,1
37,TIMIŞ,"CĂMINUL CULTURAL DINIAȘ",508,"PECIU NOU",158065,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:12:47",961,961,0,541,530,0,11,1000,459,525,16,6,256,19,99,4,47,4,5,5,2,37,9,2,9,6,15
37,TIMIŞ,"CĂMINUL CULTURAL DRAGOMIREŞTI",573,ŞTIUCA,158804,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:10:43",331,329,2,173,167,2,4,400,227,170,3,2,65,5,74,0,1,0,0,0,0,14,2,1,2,4,0
37,TIMIŞ,"CĂMINUL CULTURAL DRĂGSINEŞTI",398,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:05:39",385,385,0,332,312,0,20,500,168,318,14,3,207,0,66,2,5,1,0,1,0,15,2,0,4,6,6
37,TIMIŞ,"CĂMINUL CULTURAL DRINOVA",312,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:45:38",145,145,0,108,106,0,2,200,92,94,14,0,70,2,11,1,0,0,0,0,0,6,2,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL DUBEŞTI",494,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:17:02",190,190,0,151,147,0,4,200,49,136,15,5,38,2,33,5,31,1,1,2,0,8,0,1,2,4,3
37,TIMIŞ,"CĂMINUL CULTURAL FÂRDEA",397,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:22",560,560,0,440,375,0,65,700,260,415,25,9,214,2,96,11,26,2,1,1,1,17,8,5,13,4,5
37,TIMIŞ,"CĂMINUL CULTURAL FIBIŞ",400,FIBIŞ,159393,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:47",1452,1452,0,1009,978,0,31,1508,499,956,53,21,454,13,169,6,87,3,4,5,2,73,25,12,40,17,25
37,TIMIŞ,"CĂMINUL CULTURAL GAD",408,GHILAD,159400,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:10:04",121,121,0,76,65,0,11,200,124,72,4,1,40,1,9,3,6,0,0,0,0,5,1,0,4,2,0
37,TIMIŞ,"CĂMINUL CULTURAL GĂVOJDIA",403,GAVOJDIA,157031,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:22:11",1104,1083,21,563,521,21,21,1300,737,526,37,3,323,4,75,5,30,1,2,0,1,40,14,2,13,6,7
37,TIMIŞ,"CĂMINUL CULTURAL GHERMAN",447,"JAMU MARE",157362,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:53:02",191,190,1,125,114,1,10,200,75,119,6,1,64,3,26,1,9,0,2,0,2,5,6,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:39:07",1693,1693,0,990,960,0,30,1800,726,876,84,38,305,68,128,11,137,2,4,4,8,40,26,8,38,46,13
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:21:17",2002,2002,0,1124,1101,0,23,2100,976,1086,38,13,361,101,185,25,181,1,8,7,5,45,35,15,45,52,7
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:57:53",1692,1692,0,819,784,0,35,1800,981,793,26,13,278,66,134,5,141,3,9,7,3,27,20,6,34,42,5
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:21:24",1670,1670,0,919,846,0,73,1800,881,897,22,16,292,67,157,9,129,1,12,6,7,43,22,13,65,50,8
37,TIMIŞ,"CĂMINUL CULTURAL GLADNA ROMÂNĂ",399,FÂRDEA,156927,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:28",441,441,0,350,336,0,14,600,253,328,19,2,230,3,53,7,8,0,1,0,0,17,0,0,1,4,2
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:21:49",1717,1715,2,707,688,0,19,1800,1093,659,48,25,329,10,116,4,70,0,2,4,2,55,14,2,11,3,12
37,TIMIŞ,"CĂMINUL CULTURAL GROŞI",465,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:55:32",68,68,0,47,32,0,15,100,53,44,3,4,26,0,12,0,2,0,0,0,0,0,0,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL HERENDEŞTI",610,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:35:24",371,371,0,226,211,0,15,400,174,220,6,2,124,4,43,9,17,2,2,0,1,11,3,0,0,0,2
37,TIMIŞ,"CĂMINUL CULTURAL HONORICI",611,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:25",267,267,0,193,177,0,16,300,107,183,10,1,75,0,26,4,58,1,3,0,2,10,1,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL ICLODA",533,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:36:44",248,238,10,185,149,10,26,300,115,173,12,1,75,8,41,0,22,0,3,1,0,13,0,0,4,4,1
37,TIMIŞ,"CĂMINUL CULTURAL IECEA MICĂ",348,CĂRPINIŞ,156213,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:00:44",1008,1006,2,360,349,0,11,1100,740,345,15,5,214,1,57,4,20,2,1,0,1,20,8,1,7,0,4
37,TIMIŞ,"CĂMINUL CULTURAL IERŞNIC",495,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:02:15",123,114,9,121,90,9,22,200,79,112,9,0,74,1,19,2,6,0,0,0,0,4,2,1,2,0,1
37,TIMIŞ,"CĂMINUL CULTURAL JDIOARA",369,CRICIOVA,156534,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:22:58",442,434,8,365,328,8,29,600,235,350,15,5,187,2,118,1,8,0,1,0,0,13,2,0,7,2,4
37,TIMIŞ,"CĂMINUL CULTURAL JENA",404,GAVOJDIA,157031,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:36",422,409,13,256,242,1,13,600,344,256,0,1,151,1,40,5,21,2,4,0,2,18,2,1,6,0,2
37,TIMIŞ,"CĂMINUL CULTURAL JUREŞTI",313,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:34",176,176,0,130,123,0,7,200,70,114,16,0,71,2,14,1,8,0,0,0,0,9,0,2,3,0,4
37,TIMIŞ,"CĂMINUL CULTURAL LĂPUŞNIC",308,BARA,155662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:25",54,54,0,94,43,0,51,100,6,92,2,1,18,1,9,0,32,0,2,0,0,16,4,1,2,0,6
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:02:32",1557,1552,5,741,710,0,31,1700,959,676,65,5,256,10,129,5,179,1,1,0,1,44,7,4,22,6,6
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:41:55",1516,1516,0,741,730,0,11,1700,959,694,47,8,257,10,216,7,71,1,13,10,2,43,16,5,19,11,5
37,TIMIŞ,"CĂMINUL CULTURAL LUNCANII DE JOS",583,TOMEŞTI,158895,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:24:59",262,262,0,214,203,0,11,300,86,203,11,2,140,3,37,5,7,0,0,0,0,5,1,0,0,3,0
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:43:36",777,776,1,208,201,1,6,1100,898,183,19,7,84,1,42,2,22,0,6,2,1,8,0,0,4,0,4
37,TIMIŞ,"CĂMINUL CULTURAL MÂNĂSTIRE",333,BIRDA,159366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:57:28",174,170,4,103,91,4,8,200,98,98,4,1,80,0,7,0,0,0,1,0,0,4,3,0,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL MARGINA",462,MARGINA,157585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:00:22",942,941,1,541,530,0,11,1100,558,520,21,4,295,2,104,6,29,4,5,10,0,34,7,2,4,6,8
37,TIMIŞ,"CĂMINUL CULTURAL NEVRINCEA",328,BETHAUSEN,155840,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:14:44",193,193,0,122,113,0,9,300,178,109,13,3,39,0,20,12,17,1,2,2,0,10,2,0,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL NIȚCHIDORF",490,NIŢCHIDORF,157923,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:38:27",1122,1102,20,632,584,20,28,1200,568,599,33,3,354,6,58,18,88,2,2,6,0,21,7,1,10,17,6
37,TIMIŞ,"CAMINUL CULTURAL NR. 673, SARAVALE",539,SARAVALE,159455,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:52:48",858,858,0,566,559,0,7,900,336,509,55,9,223,0,65,24,89,2,5,6,0,40,6,5,13,10,12
37,TIMIŞ,"CĂMINUL CULTURAL OHABA LUNGĂ",493,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:39:58",307,307,0,257,231,0,26,409,152,235,22,3,96,2,22,15,63,0,2,1,0,23,0,0,0,8,0
37,TIMIŞ,"CĂMINUL CULTURAL OHABA ROMÂNĂ",496,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:49:04",167,167,0,152,135,0,17,200,48,140,12,0,66,0,11,5,41,0,0,0,0,12,1,0,1,3,0
37,TIMIŞ,"CĂMINUL CULTURAL OLOŞAG",574,ŞTIUCA,158804,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:38:34",307,303,4,191,180,4,7,400,209,183,8,1,83,0,63,0,8,0,1,1,0,6,7,1,3,4,5
37,TIMIŞ,"CĂMINUL CULTURAL OPATIŢA",255,"ORAŞ DETA",155458,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:05:40",573,573,0,584,573,0,11,700,385,293,22,2,158,3,73,7,6,2,1,0,2,14,3,0,10,9,3
37,TIMIŞ,"CĂMINUL CULTURAL PĂDURENI",612,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:31:37",132,130,2,82,69,2,11,200,118,76,6,2,41,0,7,2,9,0,1,1,0,8,0,0,5,0,0
37,TIMIŞ,"CĂMINUL CULTURAL PANIOVA",414,GHIZELA,157193,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:30",200,200,0,223,152,0,71,300,77,187,36,5,118,2,16,3,15,0,0,5,0,12,6,0,3,0,2
37,TIMIŞ,"CĂMINUL CULTURAL PARŢA",504,PARŢA,159437,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:53:29",2113,2113,0,1445,1381,0,64,2200,819,1377,4,21,779,41,206,11,118,1,9,8,5,55,37,4,34,35,13
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:11",207,207,0,132,124,0,8,300,168,128,4,5,70,2,28,1,5,0,0,1,0,14,1,0,0,1,0
37,TIMIŞ,"CĂMINUL CULTURAL PECIU NOU",507,"PECIU NOU",158065,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:16:14",1595,1590,5,821,806,1,14,1600,779,797,24,16,385,19,163,4,79,5,1,8,7,44,22,5,21,15,3
37,TIMIŞ,"CĂMINUL CULTURAL PERCOSOVA",272,"ORAŞ GĂTAIA",157086,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:45:59",233,233,0,141,121,0,20,300,159,130,11,1,84,1,19,0,5,1,1,2,0,11,0,0,1,2,2
37,TIMIŞ,"CĂMINUL CULTURAL POGĂNEŞTI",314,BÂRNA,155957,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:37:37",270,270,0,177,169,0,8,300,123,161,16,4,75,1,39,1,2,0,4,0,0,20,0,2,9,0,4
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:24",122,122,0,78,69,0,9,200,122,72,6,4,41,2,14,1,0,0,0,1,0,9,0,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL PUSTINIŞ",601,UIVAR,159142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:18:48",620,620,0,361,349,0,12,700,339,333,28,17,166,2,111,0,8,0,0,2,0,18,2,0,4,2,1
37,TIMIŞ,"CĂMINUL CULTURAL RĂDMĂNEŞTI",309,BARA,155662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:01:32",45,45,0,66,29,0,37,100,34,60,6,1,23,0,9,0,21,0,0,0,0,1,1,1,1,0,2
37,TIMIŞ,"CĂMINUL CULTURAL RĂUŢI",602,UIVAR,159142,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:15:37",487,487,0,245,239,0,6,500,255,235,10,32,77,1,92,2,10,0,0,0,0,10,7,0,2,2,0
37,TIMIŞ,"CĂMINUL CULTURAL REMETEA MICĂ",469,MAŞLOC,157683,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:37:27",438,435,3,251,246,2,3,500,249,235,16,0,95,5,85,0,11,1,4,2,4,13,2,3,2,4,4
