precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi"
26,MARAMUREŞ,"CĂMIN CULTURAL",319,FĂRCAŞA,108106,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:47:31",876,876,0,525,481,0,44,1000,475,473,52,12,8,2,3,0,9,28,5,3,76,0,32,4,280,4,7
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:33:31",386,386,0,218,205,0,13,400,182,196,22,1,2,0,0,0,4,3,2,0,39,0,18,0,122,3,2
26,MARAMUREŞ,"CAMINUL CULTURAL",269,"CÂMPULUNG LA TISA",107715,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:04:07",1203,1203,0,703,687,0,16,1300,597,662,41,2,1,2,0,0,5,4,3,2,33,0,24,401,173,9,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",268,CĂLINEŞTI,107546,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:37:45",1076,1076,0,699,688,0,11,1200,501,663,36,10,3,4,2,1,1,23,8,3,103,27,10,6,446,9,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",440,"VIMA MICĂ",109425,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:00:28",208,208,0,161,152,0,9,300,139,160,1,1,0,1,0,0,0,2,0,0,14,6,4,1,129,0,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",429,"VALEA CHIOARULUI",109354,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:01:24",522,522,0,407,364,0,43,580,173,387,20,6,0,0,1,4,2,13,5,3,30,1,13,14,282,7,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",173,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:59:41",206,206,0,163,144,0,19,300,137,158,5,0,0,0,0,1,0,10,1,2,9,2,2,1,128,1,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",233,"BĂIŢA DE SUB CODRU",107118,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:41:43",252,252,0,232,198,0,34,301,69,214,18,0,2,0,0,8,3,37,5,3,29,0,14,3,106,4,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",235,BĂIUŢ,107154,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:01:50",154,154,0,103,93,0,10,200,97,99,4,0,1,0,0,0,2,5,0,0,8,2,1,1,78,0,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",168,"ORAŞ ŞOMCUTA MARE",109176,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-14 17:12:47",611,611,0,379,363,0,16,700,321,363,16,9,2,0,0,1,7,27,3,4,41,1,14,10,237,4,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",229,ARINIŞ,107047,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:14:07",158,158,0,161,117,0,44,200,39,148,13,6,3,1,0,3,4,7,4,1,21,0,3,4,88,1,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",247,BICAZ,107234,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:22:23",216,216,0,177,149,0,28,300,123,164,13,2,1,0,1,2,1,7,0,0,24,0,4,2,116,3,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",373,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:00:20",353,353,0,218,195,0,23,402,184,211,7,0,1,1,0,3,0,15,1,2,22,1,5,1,147,8,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",374,"REMETEA CHIOARULUI",108491,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:21:45",274,274,0,225,209,0,16,300,75,217,8,4,0,0,0,5,4,21,2,1,32,2,17,1,125,3,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",288,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:16:10",562,562,0,292,274,0,18,600,308,269,23,2,2,0,0,1,4,21,2,1,55,6,13,2,152,5,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",245,BICAZ,107234,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:56:14",422,422,0,321,290,0,31,500,179,303,18,2,0,0,0,1,4,19,1,2,120,0,7,4,141,1,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",354,ONCEŞTI,179864,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 15:33:23",1245,1245,0,714,697,0,17,1400,686,663,51,5,6,1,0,3,6,10,17,9,127,3,31,3,422,8,12
26,MARAMUREŞ,"CĂMINUL CULTURAL",182,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:33:46",593,593,0,294,282,0,12,703,409,278,16,4,4,1,0,2,10,28,7,3,39,6,12,16,133,4,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",400,SATULUNG,108712,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:23",622,622,0,446,403,0,43,700,255,433,12,12,0,2,3,1,4,22,5,6,69,2,20,6,263,13,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",227,ARINIŞ,107047,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:03",565,565,0,416,366,0,50,600,184,407,9,7,12,1,0,2,7,17,0,4,55,3,14,69,209,3,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",437,"VIMA MICĂ",109425,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:43:45",78,78,0,68,56,0,12,100,32,63,5,0,0,0,0,0,0,1,0,0,4,3,0,1,53,0,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",395,SATULUNG,108712,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:53",182,182,0,216,132,0,84,250,34,212,4,8,0,0,0,1,2,15,0,1,21,3,5,4,147,2,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",208,"ORAŞ ULMENI",109265,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:04:07",606,606,0,357,315,0,42,700,343,346,11,3,3,0,2,0,2,2,3,1,36,3,17,2,256,10,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",232,"BĂIŢA DE SUB CODRU",107118,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:11:15",1194,1194,0,1006,888,0,118,1296,290,951,55,9,13,2,1,11,9,50,5,6,130,6,33,11,647,15,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",186,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:02:44",158,158,0,114,105,0,9,200,86,106,8,0,0,0,0,0,0,2,0,0,13,1,1,1,84,3,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",384,"RONA DE SUS",108632,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:21:28",1595,1595,0,835,830,0,5,1700,865,756,79,6,4,1,4,1,6,31,14,10,95,4,79,7,476,13,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",249,BISTRA,107270,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:31:32",1286,1286,0,664,653,0,11,1400,736,556,108,6,12,4,3,3,8,8,17,7,83,47,29,4,300,21,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",406,SĂLSIG,108918,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:46:38",1319,1319,0,1077,906,0,171,1400,323,996,81,20,0,1,0,3,16,31,10,11,141,1,24,5,677,31,25
26,MARAMUREŞ,"CĂMINUL CULTURAL",396,SATULUNG,108712,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:42:05",593,593,0,400,366,0,34,700,300,389,11,13,4,2,0,4,4,24,2,2,68,4,11,2,234,5,10
26,MARAMUREŞ,"CĂMINUL CULTURAL",441,"VIMA MICĂ",109425,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:56:28",320,320,0,240,203,0,37,400,160,226,14,5,0,2,0,0,0,19,0,1,117,1,10,2,69,0,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",228,ARINIŞ,107047,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:23:51",164,151,13,124,111,2,11,200,76,112,12,1,0,0,1,0,2,2,3,1,37,0,7,3,52,1,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",308,DESEŞTI,107975,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:31:56",435,435,0,312,300,0,12,500,188,291,21,5,1,0,0,0,3,28,2,3,72,2,17,3,145,9,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",265,BUDEŞTI,107519,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:39:59",629,629,0,399,397,0,2,700,301,374,25,4,2,2,1,0,4,9,2,3,78,2,10,6,246,0,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",352,"OCNA ŞUGATAG",108400,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-14 17:09:10",239,239,0,164,156,0,8,300,136,143,21,2,1,1,0,0,4,8,0,3,26,2,6,1,82,2,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",209,"ORAŞ ULMENI",109265,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:11:22",203,203,0,143,123,0,20,300,157,134,9,2,2,0,0,1,2,4,1,3,9,2,6,3,99,0,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",398,SATULUNG,108712,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:49:18",608,608,0,423,389,0,34,700,277,396,27,8,1,0,2,2,8,21,2,3,41,2,8,7,282,4,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",336,"MIREŞU MARE",108268,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:47:13",1147,1147,0,724,699,0,25,1300,576,689,35,12,4,3,0,2,12,17,9,3,125,3,33,10,434,16,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",289,COPALNIC-MĂNĂŞTUR,107733,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:17:44",64,64,0,48,42,0,6,100,52,46,2,0,1,0,0,0,1,6,0,0,4,0,0,1,32,1,0
26,MARAMUREŞ,"CĂMINUL CULTURAL",295,COPALNIC-MĂNĂŞTUR,107733,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:16:58",213,213,0,163,156,0,7,300,137,152,11,5,0,0,1,0,3,47,2,0,14,1,5,1,67,2,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",287,COPALNIC-MĂNĂŞTUR,107733,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:55:52",283,283,0,199,191,0,8,300,101,191,8,9,1,1,1,0,3,10,2,0,30,4,12,1,113,2,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",307,DESEŞTI,107975,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:45:04",723,723,0,576,544,0,32,800,256,518,26,7,5,3,1,3,3,40,3,3,72,26,28,9,296,14,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",385,"RONA DE SUS",108632,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:24:12",1505,1505,0,750,746,0,4,1600,850,665,85,8,5,4,1,0,2,30,12,0,95,1,66,17,408,8,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",397,SATULUNG,108712,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:14:07",999,999,0,695,663,0,32,1100,405,628,67,0,2,3,1,0,4,15,5,2,70,4,15,3,498,1,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",237,BĂSEŞTI,107190,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:03:06",460,460,0,355,298,0,57,501,146,328,27,7,1,1,0,1,4,21,7,3,77,3,14,3,184,0,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",285,COPALNIC-MĂNĂŞTUR,107733,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:42:25",778,778,0,509,498,0,11,800,283,484,13,12,0,2,0,3,4,41,4,2,79,4,17,16,283,12,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",321,GIULEŞTI,108151,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:49:07",1072,1072,0,632,566,0,66,1100,468,601,31,0,2,0,3,1,3,28,11,0,71,6,16,7,442,6,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",371,"REMETEA CHIOARULUI",108491,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:42:37",956,956,0,671,627,0,44,1000,329,604,67,8,3,2,6,2,10,19,8,1,66,6,28,8,422,9,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",399,SATULUNG,108712,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:21:27",680,680,0,432,397,0,35,700,268,393,39,6,7,0,0,3,9,97,5,8,68,1,12,3,163,4,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",293,COPALNIC-MĂNĂŞTUR,107733,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:57:08",269,269,0,167,162,0,5,300,133,167,0,0,0,0,0,0,3,20,2,1,10,0,6,1,115,4,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",394,SATULUNG,108712,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:38:52",1370,1370,0,900,789,0,111,1450,550,848,52,17,7,3,4,10,8,120,9,15,112,8,28,23,448,9,27
26,MARAMUREŞ,"CĂMINUL CULTURAL",291,COPALNIC-MĂNĂŞTUR,107733,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:22:39",701,701,0,383,380,0,3,800,417,355,28,7,2,4,2,0,6,21,8,3,56,5,18,1,219,1,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",240,BĂSEŞTI,107190,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:15:47",218,218,0,146,135,0,11,300,154,122,24,1,0,0,0,0,1,23,1,1,27,0,0,0,67,0,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",402,SĂCĂLĂŞENI,108794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:20:37",697,697,0,519,471,0,48,800,281,498,21,10,0,4,2,2,9,18,6,11,81,1,15,8,318,5,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",434,"VALEA CHIOARULUI",109354,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:46:53",200,200,0,206,145,0,61,220,14,198,8,5,0,0,0,0,1,2,1,1,69,1,4,2,105,3,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",380,REPEDEA,108598,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:31:19",1747,1747,0,840,827,0,13,1900,1062,777,61,0,1,3,5,2,4,15,38,6,178,2,97,4,394,21,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",351,"OCNA ŞUGATAG",108400,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-13 13:15:16",837,837,0,542,505,0,37,900,358,499,43,13,5,2,4,2,9,18,8,3,71,3,15,8,327,6,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",435,"VIMA MICĂ",109425,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:32:20",271,271,0,189,167,0,22,300,111,178,11,1,2,1,1,0,4,8,2,0,40,2,10,2,101,2,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",183,"ORAŞ TĂUŢII-MĂGHERĂUŞ",106461,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:33:54",311,311,0,195,187,0,8,400,205,184,11,12,3,3,0,0,2,17,4,4,38,1,10,6,76,3,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",170,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:55:07",487,487,0,308,295,0,13,501,193,302,6,4,1,0,0,0,3,10,2,9,63,0,10,4,189,2,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",393,SARASĂU,106620,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:31:45",1098,1098,0,603,588,0,15,1200,597,567,36,5,5,2,4,1,8,24,9,3,88,3,38,6,355,8,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",320,GÂRDANI,179855,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 16:02:46",1125,1125,0,785,690,0,95,1200,415,737,48,15,3,4,4,5,15,46,1,7,101,4,23,5,485,6,13
26,MARAMUREŞ,"CĂMINUL CULTURAL",392,SARASĂU,106620,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:07:30",1234,1234,0,652,639,0,13,1400,748,615,37,7,8,4,3,5,9,25,12,9,86,4,59,8,339,22,15
26,MARAMUREŞ,"CĂMINUL CULTURAL",231,"ASUAJU DE SUS",107083,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 15:12:43",245,245,0,204,153,0,51,300,96,197,7,1,1,0,1,0,5,8,2,0,21,1,11,3,135,7,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",417,ŞIEU,179613,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:04:03",1192,1192,0,861,784,0,77,1300,439,832,29,0,1,1,1,2,3,79,19,2,177,5,69,2,453,11,7
26,MARAMUREŞ,"CĂMINUL CULTURAL",439,"VIMA MICĂ",109425,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:14:56",177,177,0,133,123,0,10,200,67,130,3,4,0,0,1,0,3,5,4,2,28,0,8,1,72,0,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",239,BĂSEŞTI,107190,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:12:29",68,68,0,71,46,0,25,100,29,60,11,2,0,0,0,0,2,6,0,1,11,3,2,2,29,0,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",207,"ORAŞ ULMENI",109265,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:46:05",875,875,0,601,535,0,66,1000,399,589,12,4,1,0,1,1,9,6,4,0,38,0,7,289,221,5,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",267,CĂLINEŞTI,107546,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-14 16:59:54",347,347,0,203,187,0,16,400,197,198,5,0,2,1,1,0,3,10,1,0,57,3,7,0,109,1,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",403,SĂCĂLĂŞENI,108794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:40:47",550,537,13,308,294,1,13,600,292,285,23,6,1,0,0,1,6,41,1,2,86,3,17,3,114,3,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",286,COPALNIC-MĂNĂŞTUR,107733,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:18:00",583,583,0,359,349,0,10,600,241,332,27,0,0,3,1,2,5,11,6,1,51,6,18,4,215,8,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",430,"VALEA CHIOARULUI",109354,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:21:22",216,216,0,225,161,0,64,300,75,212,13,2,1,1,2,0,2,7,2,1,26,0,7,1,154,4,2
26,MARAMUREŞ,"CĂMINUL CULTURAL",300,COROIENI,107868,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:15:16",158,158,0,110,94,0,16,300,190,108,2,2,1,0,0,0,0,10,0,0,12,0,0,5,77,0,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",292,COPALNIC-MĂNĂŞTUR,107733,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:39:06",393,393,0,261,250,0,11,401,140,246,14,4,0,1,1,2,2,24,0,5,43,1,15,1,135,7,5
26,MARAMUREŞ,"CĂMINUL CULTURAL",284,COLTĂU,179846,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:48:20",484,484,0,289,280,0,9,500,211,279,10,8,3,5,1,2,10,21,3,2,24,2,5,137,42,6,8
26,MARAMUREŞ,"CĂMINUL CULTURAL",298,COROIENI,107868,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:08:44",339,339,0,243,232,0,11,400,157,224,19,2,2,0,0,0,11,26,0,0,18,1,2,2,156,0,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",236,BĂIUŢ,107154,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:56:34",476,476,0,267,254,0,13,500,233,253,14,7,1,0,0,1,5,13,1,0,29,1,25,56,109,2,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",174,"ORAŞ ŞOMCUTA MARE",109176,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:00:10",587,587,0,472,455,0,17,700,228,458,14,6,1,1,0,0,5,17,4,5,40,4,14,3,346,6,6
26,MARAMUREŞ,"CĂMINUL CULTURAL",259,"BOIU MARE",107430,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:28:03",371,371,0,256,227,0,29,400,145,243,12,9,2,2,0,0,5,9,7,1,27,3,7,1,165,2,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",431,"VALEA CHIOARULUI",109354,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:37",54,54,0,70,34,0,36,100,30,68,2,8,0,0,5,1,1,0,0,0,8,0,1,0,38,2,4
26,MARAMUREŞ,"CĂMINUL CULTURAL",438,"VIMA MICĂ",109425,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:51:04",33,33,0,33,19,0,14,100,67,32,1,1,0,0,0,0,0,4,0,0,4,0,0,0,21,1,1
26,MARAMUREŞ,"CĂMINUL CULTURAL",266,CĂLINEŞTI,107546,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:10:52",1149,1149,0,725,713,0,12,1300,575,687,38,9,0,4,0,0,10,40,5,3,90,3,22,6,475,17,3
26,MARAMUREŞ,"CĂMINUL CULTURAL",154,"ORAŞ DRAGOMIREŞTI",108017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:00:49",1282,1282,0,746,704,0,42,1400,654,695,51,18,1,0,3,8,11,23,10,7,91,2,36,7,446,23,9
26,MARAMUREŞ,"CĂMINUL CULTURAL",238,BĂSEŞTI,107190,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:53:31",307,307,0,247,195,0,52,400,153,232,15,7,0,1,2,3,2,22,1,0,57,2,9,2,119,4,1
