precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZĂRNESCU BOGDAN-ROMICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GREŞALĂ CONSTANTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","TICU VASILE-CEZAR-PARTIDUL SOCIAL DEMOCRAT-voturi"
39,VASLUI,"LICEUL TEHNOLOGIC, SAT PUIEŞTI",421,PUIEŞTI,165470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:43:08",1120,1099,0,8,13,607,586,0,8,13,554,30,1200,593,104,13,437
39,VASLUI,"ŞCOALA GIMNAZIALĂ, SAT LĂLEŞTI",430,PUIEŞTI,165470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:38:25",376,368,0,6,2,225,217,0,6,2,210,10,400,180,83,2,125
39,VASLUI,"ŞCOALA PRIMARĂ, SAT BĂRTĂLUŞ -MOCANI",422,PUIEŞTI,165470,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:49:02",175,168,0,5,2,104,97,0,5,2,98,6,200,96,16,3,79
39,VASLUI,"ŞCOALA PRIMARĂ, SAT CĂLIMĂNEŞTI",423,PUIEŞTI,165470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:11:25",290,282,0,4,4,160,152,0,4,4,143,17,300,140,31,5,107
39,VASLUI,"ŞCOALA PRIMARĂ, SAT CETĂŢUIA",424,PUIEŞTI,165470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:56:23",321,312,0,6,3,221,212,0,6,3,214,7,350,129,11,5,198
39,VASLUI,"ŞCOALA PRIMARĂ, SAT CRISTEŞTI",425,PUIEŞTI,165470,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:35",348,340,0,7,1,209,201,0,7,1,205,4,350,141,107,2,96
39,VASLUI,"ŞCOALA PRIMARĂ, SAT FÎNTÎNELE",426,PUIEŞTI,165470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:04:03",105,97,0,8,0,66,58,0,8,0,65,1,100,34,26,1,38
39,VASLUI,"ŞCOALA PRIMARĂ, SAT FULGU",427,PUIEŞTI,165470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:13:40",119,114,0,5,0,77,72,0,5,0,74,3,150,73,14,1,59
39,VASLUI,"ŞCOALA PRIMARĂ,SAT GÎLŢEŞTI",428,PUIEŞTI,165470,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:03:58",122,114,0,8,0,78,70,0,8,0,74,4,144,66,19,0,55
39,VASLUI,"ŞCOALA PRIMARĂ,SAT IEZER",429,PUIEŞTI,165470,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:56",223,218,0,5,0,117,112,0,5,0,113,4,250,133,12,0,101
39,VASLUI,"ŞCOALA PRIMARĂ, SAT ROTARI",431,PUIEŞTI,165470,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:39:52",107,100,0,6,1,65,58,0,6,1,62,3,110,45,18,0,44
39,VASLUI,"ŞCOALA PRIMARĂ,SAT RUŞI",432,PUIEŞTI,165470,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:36:50",291,281,0,9,1,178,168,0,9,1,165,13,300,122,54,1,110
