precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"ANEXA LA BISERICA „NAȘTEREA MAICII DOMNULUI” RĂŞCANI",481,ŞULETEA,166137,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:12",232,205,0,11,16,128,101,0,11,16,125,3,200,72,99,7,9,2,3,5
39,VASLUI,"CĂMIN CULTURAL",367,LIPOVĂŢ,164687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:20:45",480,472,0,8,0,223,215,0,8,0,210,13,500,277,154,11,39,2,3,1
39,VASLUI,"CĂMIN CULTURAL COZMEȘTI",257,COZMEŞTI,167277,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:51",226,224,0,2,0,110,108,0,2,0,103,7,300,190,67,25,5,1,0,5
39,VASLUI,"CĂMIN CULTURAL POPEŞTI",288,DRAGOMIREŞTI,163486,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:54",177,173,0,4,0,177,173,0,4,0,163,14,400,223,66,10,63,1,2,21
39,VASLUI,"CAMIN CULTURAL, SAT VIIȘOARA",514,VIIŞOARA,166707,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:11",917,848,0,14,55,474,407,0,14,53,453,21,900,426,338,4,59,4,6,42
39,VASLUI,"CĂMIN CULTURAL VULTUREŞTI",532,VULTUREŞTI,166985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:02",844,831,0,3,10,506,493,0,3,10,492,14,900,394,324,42,111,5,1,9
39,VASLUI,"CAMINUL CULTURAL",190,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:40",311,307,0,2,2,170,166,0,2,2,166,4,400,230,97,7,48,2,0,12
39,VASLUI,"CĂMINUL CULTURAL BÎRZEŞTI",475,"ŞTEFAN CEL MARE",166057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:46",977,962,0,1,14,537,522,0,1,14,510,27,1100,563,442,35,14,8,3,8
39,VASLUI,"CĂMINUL CULTURAL BLĂGEŞTI",214,BLĂGEŞTI,162559,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:38",753,744,0,3,6,389,380,0,3,6,365,24,800,411,228,75,44,5,4,9
39,VASLUI,"CĂMINUL CULTURAL BOGDĂNEŞTI",222,BOGDĂNEŞTI,162693,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:44",799,771,1,5,22,466,438,1,5,22,403,63,800,334,101,24,32,9,5,232
39,VASLUI,"CĂMINUL CULTURAL BOȚEȘTI",232,BOŢEŞTI,162871,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:58:25",718,690,0,6,22,396,368,0,6,22,380,16,800,404,33,18,214,44,4,67
39,VASLUI,"CĂMINUL CULTURAL CIOCANI",239,CIOCANI,167268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:03:57",929,917,0,11,1,556,544,0,11,1,501,55,1000,444,225,130,46,11,3,86
39,VASLUI,"CĂMINUL CULTURAL CRIVESTI",506,TUTOVA,166529,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:04",344,341,0,2,1,190,187,0,2,1,181,9,400,210,115,45,11,4,3,3
39,VASLUI,"CĂMINUL CULTURAL DIN SAT ȚIFU",193,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:34:20",293,283,0,7,3,201,191,0,7,3,188,13,300,99,123,7,55,0,1,2
39,VASLUI,"CĂMINUL CULTURAL DRAGOMIREŞTI",283,DRAGOMIREŞTI,163486,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:14",419,413,0,6,0,232,226,0,6,0,210,22,500,260,64,6,88,2,1,49
39,VASLUI,"CĂMINUL CULTURAL, DRAXENI",449,REBRICEA,165719,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:37:29",657,651,0,3,3,360,354,0,3,3,338,22,700,340,135,45,149,1,2,6
39,VASLUI,"CĂMINUL CULTURAL FĂLCIU",308,FĂLCIU,163832,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:57:57",1031,1018,0,3,10,485,472,0,3,10,461,24,1100,615,191,22,190,29,5,24
39,VASLUI,"CĂMINUL CULTURAL, GHERGHEŞTI",328,GHERGHEŞTI,163967,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:05:35",883,869,0,1,13,470,456,0,1,13,411,50,1000,539,233,119,40,3,9,7
39,VASLUI,"CĂMINUL CULTURAL GÎRCENI",322,GÂRCENI,164062,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:34",687,642,0,6,39,340,295,0,6,39,316,24,700,360,236,30,10,13,4,23
39,VASLUI,"CĂMINUL CULTURAL GUGEȘTI",233,BOŢEŞTI,162871,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:51:47",770,749,1,4,16,426,405,1,4,16,410,16,800,374,50,30,234,77,3,16
39,VASLUI,"CĂMINUL CULTURAL IBĂNEŞTI",347,IBĂNEŞTI,167222,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:19:30",522,511,0,5,6,315,304,0,5,6,301,14,600,285,66,20,202,2,3,8
39,VASLUI,"CĂMINUL CULTURAL LEOȘTI",491,TĂTĂRĂNI,166315,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:17",230,221,0,5,4,126,117,0,5,4,113,13,300,174,57,15,35,0,2,4
39,VASLUI,"CĂMINUL CULTURAL MUNTENII DE SUS",386,"MUNTENII DE SUS",167302,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:34",1195,1190,0,4,1,447,442,0,4,1,424,23,1300,853,204,46,116,6,5,47
39,VASLUI,"CĂMINUL CULTURAL REDIU-GALIAN",245,CODĂEŞTI,163002,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:21:08",450,442,0,7,1,227,219,0,7,1,213,14,500,273,42,34,111,2,19,5
39,VASLUI,"CĂMINUL CULTURAL, ŞTEFAN CEL MARE",474,"ŞTEFAN CEL MARE",166057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:35:05",597,588,0,1,8,361,352,0,1,8,347,14,600,239,281,30,22,6,5,3
39,VASLUI,"CĂMINUL CULTURAL TĂCUTA",484,TĂCUTA,166235,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:26:26",660,657,0,0,3,372,369,0,0,3,354,18,700,328,84,164,54,14,3,35
39,VASLUI,"CĂMINUL CULTURAL TUTOVA",502,TUTOVA,166529,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:13",1118,1089,0,4,25,613,584,0,4,25,594,16,1191,581,372,209,13,0,0,0
39,VASLUI,"CĂMINUL CULTURAL ” VASILE FOLESCU” CREŢEŞTI",260,CREŢEŞTI,163208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:02:02",451,416,1,17,17,292,257,1,17,17,276,12,500,212,91,11,162,4,1,7
39,VASLUI,"CĂMINUL CULTURAL ”VIRGIL CARAIVAN” ŞULETEA",478,ŞULETEA,166137,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:27:27",898,850,0,12,36,518,470,0,12,36,491,27,1000,482,264,44,132,8,9,34
39,VASLUI,"CĂMINUL CULTURAL ZĂPODENI",538,ZĂPODENI,167071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:11:54",674,628,0,2,44,674,628,0,2,44,644,30,1200,526,340,76,141,10,5,72
39,VASLUI,"CASA DE CULTURĂ",163,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:15:10",1409,1407,0,1,1,617,615,0,1,1,587,30,1600,983,174,52,298,6,6,51
39,VASLUI,"CASA DE CULTURĂ",162,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:39:47",1498,1492,0,6,0,659,653,0,6,0,640,19,1600,937,213,38,305,8,2,74
39,VASLUI,"CASA DE CULTURA ”ALEXANDRU GIUGARU”",143,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:24",1585,1573,1,11,0,422,411,0,11,0,394,28,1801,1379,161,70,126,5,6,26
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",2,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:34:57",1499,1491,3,5,0,531,525,1,5,0,507,24,1600,1069,225,59,99,12,17,95
39,VASLUI,"CASA DE CULTURĂ A SINDICATELOR ”CONSTANTIN TĂNASE”",1,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:21",1391,1383,0,5,3,601,593,0,5,3,571,25,1400,804,257,63,117,10,6,118
39,VASLUI,"CASA DE CULTURA MURGENI",154,"ORAŞ MURGENI",164981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:59:41",1757,1725,0,29,3,736,704,0,29,3,704,32,2000,1264,349,161,176,7,1,10
39,VASLUI,"CENTRU DE ACTIVITĂȚI SOCIALE",356,IVĂNEŞTI,164393,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:12:15",392,374,1,4,13,187,170,0,4,13,180,7,400,213,135,29,9,3,1,3
39,VASLUI,"CENTRU DE ZI PENTRU COPII BUHĂIEŞTI",533,VULTUREŞTI,166985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:42:09",608,591,0,7,10,331,314,0,7,10,315,16,700,369,213,23,63,7,0,9
39,VASLUI,"CENTRUL COMUNITAR INTEGRAT DIN LOCALITATEA SOLEȘTI",460,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:11",932,926,0,2,4,458,452,0,2,4,432,26,1000,542,247,89,30,19,7,40
39,VASLUI,"CENTRUL COMUNITAR INTEGRAT HUȘI",134,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:13",1083,1075,1,6,1,374,367,0,6,1,363,11,1200,826,119,87,118,7,3,29
39,VASLUI,"CENTRUL CONSULTATIV HUȘI",136,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:53",1609,1588,1,20,0,579,559,0,20,0,556,23,1900,1321,234,103,194,17,1,7
39,VASLUI,"CENTRUL CULTURAL BĂLTENI",205,BĂLTENI,162452,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:57",838,833,2,0,3,436,433,0,0,3,414,22,900,464,280,48,48,5,9,24
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”",315,FEREŞTI,167295,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:06:03",1844,1794,0,8,42,571,521,0,8,42,539,32,2000,1429,392,19,111,3,5,9
39,VASLUI,"CENTRUL CULTURAL ”SANDU TRIFAN”, FEREŞTI",314,FEREŞTI,167295,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:47",1565,1548,0,4,13,301,284,0,4,13,293,8,1600,1299,208,14,71,0,0,0
39,VASLUI,"CENTRUL CULTURAL ”ȘTEFAN CIOBOTĂRAȘU” SAT LIPOVAȚ",363,LIPOVĂŢ,164687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:04",1311,1307,0,3,1,665,661,0,3,1,632,27,1500,841,385,60,149,7,8,23
39,VASLUI,"CENTRUL CULTURAL STROE S. BELLOESCU GRIVIŢA",333,GRIVIŢA,164133,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:50",1323,1314,1,8,0,655,647,0,8,0,604,51,1500,845,451,49,71,10,7,16
39,VASLUI,"CENTRUL DE ZI GARA ROŞIEŞTI",455,ROŞIEŞTI,165817,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:55",312,309,1,2,0,171,169,0,2,0,157,14,400,229,70,16,13,4,1,53
39,VASLUI,"CENTRUL DE ZI TOMȘA",341,HOCENI,164197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:25:02",100,92,0,4,4,68,60,0,4,4,67,0,100,32,53,3,9,0,2,0
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",4,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:22:04",1738,1733,0,5,0,12,7,0,5,0,10,2,1800,1788,2,1,2,1,2,2
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",3,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:41:44",1842,1834,1,7,0,144,137,0,7,0,133,11,2000,1856,64,22,20,2,3,22
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",28,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:14:32",943,936,0,6,1,259,252,0,6,1,246,13,1000,741,86,35,42,14,6,63
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",26,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:26:49",1777,1768,0,9,0,21,12,0,9,0,21,0,2000,1979,9,3,5,0,1,3
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",25,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:56:05",1859,1853,0,4,2,721,715,0,4,2,701,20,1853,1132,281,103,142,19,11,145
39,VASLUI,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",27,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:11:44",1725,1716,0,9,0,49,40,0,9,0,47,2,1800,1751,22,3,5,1,1,15
39,VASLUI,"CENTRU SOCIAL BUMBĂTA",513,VETRIŞOAIA,166672,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:50:37",100,84,0,9,7,64,48,0,9,7,62,2,100,36,32,10,18,1,0,1
39,VASLUI,"CENTRU SOCIAL POIENEȘTI",415,POIENEŞTI,165336,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:02:40",759,720,0,21,18,463,424,0,21,18,431,32,800,337,322,64,19,8,6,12
39,VASLUI,"CLUBUL PENSIONARILOR",85,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:59:11",1868,1860,0,8,0,23,15,0,8,0,23,0,2000,1977,7,5,6,1,1,3
39,VASLUI,"CLUBUL PENSIONARILOR",84,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:04:08",1788,1777,0,11,0,35,24,0,11,0,33,2,2000,1965,15,5,3,3,0,7
39,VASLUI,"CLUBUL ”PRIETENIA”",83,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:24:10",1579,1571,0,8,0,10,2,0,8,0,10,0,1600,1590,3,2,2,1,0,2
39,VASLUI,"CLUBUL ”PRIETENIA”",82,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:17:22",1517,1509,0,8,0,41,33,0,8,0,41,0,1600,1559,13,5,12,3,0,8
39,VASLUI,"COLEGIUL AGRICOL ”DIMITRIE CANTEMIR”",139,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:13",1025,1025,0,0,0,371,371,0,0,0,361,10,1100,728,155,49,112,8,3,34
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",61,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:23:24",568,562,0,6,0,241,235,0,6,0,233,8,600,359,69,30,63,11,5,55
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",60,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:34",1716,1710,0,6,0,481,475,0,6,0,471,10,1800,1319,160,59,98,17,8,129
39,VASLUI,"COLEGIUL NAȚIONAL ”CUZA VODA”",137,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:52",1794,1788,0,6,0,356,350,0,6,0,353,3,2000,1644,141,62,107,11,2,30
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",93,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:57:03",940,932,0,8,0,355,347,0,8,0,333,22,1000,645,156,32,51,12,21,61
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",94,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:04:34",1469,1463,0,6,0,475,469,0,6,0,444,31,1600,1125,188,58,56,13,38,91
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",95,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:57",976,964,0,3,9,402,393,0,0,9,375,27,1000,598,188,62,60,15,11,39
39,VASLUI,"CONTAINER MODULAR",332,GHERGHEŞTI,163967,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:46:41",389,376,0,4,9,220,207,0,4,9,202,18,400,180,109,85,5,1,1,1
39,VASLUI,"CONTAINER MODULAR",531,VOINEŞTI,166869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:27:02",143,138,0,5,0,82,77,0,5,0,80,2,200,118,66,3,3,2,0,6
39,VASLUI,"CONTAINER MODULAR TIP BIROU",537,VUTCANI,167035,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:57:16",117,106,0,6,5,60,49,0,6,5,57,3,200,140,44,7,5,0,1,0
39,VASLUI,"CREȘA FEDEȘTI",479,ŞULETEA,166137,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:12:04",482,456,1,6,19,268,242,1,6,19,245,23,500,232,139,29,66,3,2,6
39,VASLUI,"DIRECTIA AGRICOLA JUDETEANA VASLUI - UNITATEA FITOSANITARA HUSI",153,"MUNICIPIUL HUŞI",161829,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:58:20",2095,2053,4,6,32,752,713,1,6,32,676,39,2300,1585,308,127,176,21,5,39
39,VASLUI,"DISPENSAR UMAN, SAT CHILIENI",247,COROIEŞTI,163057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:56:19",186,177,0,9,0,77,68,0,9,0,73,4,200,123,71,0,2,0,0,0
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV BOBEŞTI",296,DUDA-EPURENI,163681,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:27:00",102,92,0,10,0,60,50,0,10,0,60,0,100,40,30,5,19,0,0,6
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV BOUȘORI",461,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:51:33",193,181,0,5,7,103,91,0,5,7,103,0,200,97,59,28,5,1,3,7
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV, PUŢU OLARULUI",349,IBĂNEŞTI,167222,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:01:04",101,96,0,5,0,65,60,0,5,0,62,3,100,35,27,7,27,0,1,0
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV VALEA SILIȘTEI",466,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:07:43",220,212,0,8,0,127,119,0,8,0,116,11,300,173,57,46,3,1,1,8
39,VASLUI,"FOSTA ŞCOALA GENERALĂ ARMĂŞENI",235,BUNEŞTI-AVEREŞTI,162924,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:37:56",259,252,0,1,6,137,130,0,1,6,127,10,280,143,47,15,37,4,3,21
39,VASLUI,"GRĂDINIȚA CU 3 SĂLI DE GRUPĂ",379,MICLEŞTI,164892,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:24",742,730,0,4,8,393,381,0,4,8,358,35,800,407,145,28,163,10,1,11
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL",335,GRIVIŢA,164133,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:06",1121,1119,1,1,0,507,505,1,1,0,480,27,1200,693,287,65,77,15,14,22
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL",72,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:20:10",1860,1855,3,2,0,869,867,0,2,0,841,28,2000,1131,312,147,163,38,16,165
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL BARBOŞI",337,HOCENI,164197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:57:14",521,497,0,4,20,280,256,0,4,20,266,14,600,320,106,13,145,1,0,1
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL, GURA VĂII",472,STĂNILEŞTI,165979,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:36:08",366,362,0,3,1,175,171,0,3,1,168,7,400,225,98,25,31,4,1,9
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL IAZ",462,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:33",312,307,0,4,1,177,172,0,4,1,162,15,400,223,91,41,3,6,1,20
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.1",482,TANACU,166182,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:25:56",1259,1229,0,4,26,678,648,0,4,26,626,52,1400,722,232,124,128,15,11,116
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.12",46,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:11",1246,1239,0,5,2,449,442,0,5,2,441,8,1300,851,186,66,72,17,6,94
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",79,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:23:17",1927,1923,0,4,0,46,42,0,4,0,46,0,2000,1954,13,10,10,0,1,12
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",80,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:51",1885,1879,0,6,0,315,309,0,6,0,304,11,2000,1685,124,60,39,8,13,60
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 22",81,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:24:59",1868,1861,0,7,0,98,91,0,7,0,97,1,2000,1902,30,25,13,1,4,24
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 NEGREȘTI",165,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:12",878,867,1,4,6,384,374,0,4,6,355,29,1000,616,99,33,184,6,3,30
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL, RAFAILA",445,RAFAILA,167240,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:28",1464,1411,1,14,38,855,802,1,14,38,814,41,1600,738,576,69,106,4,3,56
39,VASLUI,"GRADINITA CU PROGRAM NORMAL, SAT BULBOACA",269,DELENI,163324,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:57:18",436,425,0,1,10,256,245,0,1,10,245,11,487,231,82,27,100,3,0,33
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SAT PARPANIȚA",169,"ORAŞ NEGREŞTI",161856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:12:30",473,464,0,7,2,249,240,0,7,2,224,24,500,252,70,31,94,5,5,19
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SATU NOU",463,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:05:45",333,326,0,6,1,178,171,0,6,1,160,18,400,222,101,25,8,8,4,14
39,VASLUI,"GRADINITA CU PROGRAM NORMAL SAT.URSOAIA",355,IVĂNEŞTI,164393,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:39",364,354,1,4,5,152,142,1,4,5,141,11,400,248,77,14,33,8,1,8
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SAT URSOAIA",354,IVĂNEŞTI,164393,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:26",361,353,0,3,5,191,183,0,3,5,183,5,400,209,114,25,15,17,0,12
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL ȘTIOBORĂNI",465,SOLEŞTI,165899,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:08",309,294,0,9,6,157,142,0,9,6,141,16,400,243,35,86,10,3,2,5
39,VASLUI,"GRADINITA CU PROGRAM NORMAL VOINEŞTI",534,VULTUREŞTI,166985,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:32",320,311,0,4,5,192,183,0,4,5,176,16,400,208,108,20,41,2,2,3
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",133,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:19:46",813,807,0,6,0,319,313,0,6,0,297,22,900,581,116,35,47,11,17,71
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",132,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:25:54",1243,1241,0,2,0,505,503,0,2,0,483,22,1400,895,215,41,86,12,36,93
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”LICURICI”",131,"MUNICIPIUL BÂRLAD",161794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:07",1132,1128,0,4,0,441,437,0,4,0,427,14,1200,759,185,52,61,18,22,89
39,VASLUI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.14",11,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:58",976,961,0,15,0,348,343,0,5,0,329,14,1000,657,95,54,76,29,5,70
