precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL GURA BELIEI ”ALBINUŢA”",214,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:58:05",1044,1032,0,8,4,528,516,0,8,4,518,10,1100,572,289,98,3,12,22,16,78
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL PODU VADULUI",216,"ORAŞ BREAZA",131103,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:51:51",1284,1270,0,11,3,618,604,0,11,3,591,27,1400,782,301,80,13,51,48,13,85
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL VALEA TÂRSEI ”FREAMĂT DE CODRU”",217,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:07:32",1225,1219,1,5,0,634,629,0,5,0,625,9,1300,666,376,80,7,11,49,7,95
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ȘI PROGRAM NORMAL ”CASTELUL FERMECAT”",212,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:36:03",811,801,0,10,0,398,388,0,10,0,393,5,942,544,253,25,2,7,30,12,64
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",210,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:52:54",1517,1504,3,9,1,756,744,2,9,1,738,17,1600,842,509,52,5,16,44,18,94
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",209,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:11:27",1046,1024,1,17,4,549,528,0,17,4,527,22,1100,551,344,45,8,10,49,18,53
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",211,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:16:50",820,808,1,11,0,432,421,0,11,0,422,10,900,468,253,47,10,9,31,18,54
31,PRAHOVA,"LICEUL TEORETIC ”AUREL VLAICU” BREAZA",208,"ORAŞ BREAZA",131103,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:15",1358,1348,0,10,0,697,687,0,10,0,676,21,1500,803,433,46,7,14,77,16,83
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ BREAZA DE JOS",206,"ORAŞ BREAZA",131103,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:56",906,900,1,5,0,477,472,0,5,0,462,15,1000,523,277,36,5,39,22,15,68
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ BREAZA DE JOS",207,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:37:28",982,970,1,10,1,490,478,1,10,1,477,13,1100,610,307,31,8,20,38,11,62
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN BRÂNCOVEANU” BREAZA",213,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:35:05",1257,1243,3,9,2,703,692,0,9,2,677,26,1400,697,440,53,7,28,48,15,86
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ NISTOREȘTI",215,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:50:20",1055,1046,1,8,0,510,502,0,8,0,495,15,1200,690,258,87,5,7,65,4,69
