precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MANE MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MATE MARTA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MARIAN CĂLIN-PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","NISTOR LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","APARASCHIVEI CONSTANTIN-DORU-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","MUZSIC ROBERT-EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PINTE IOANA-CRISTINA-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL",196,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:35:22",280,262,0,9,9,186,168,0,9,9,179,7,300,114,23,1,69,65,5,16,0
22,HUNEDOARA,"CĂMINUL CULTURAL",201,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:58:42",167,158,0,5,4,113,104,0,5,4,110,3,200,87,29,5,41,30,2,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL",203,"ORAŞ CĂLAN",87424,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:58:50",254,250,0,4,0,163,159,0,4,0,158,5,300,137,31,0,50,69,2,6,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞ SĂLIŞTE",521,ZAM,92177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:11:56",109,101,1,7,0,65,57,1,7,0,63,2,120,55,5,2,34,22,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU MIC",410,"PESTIŞU MIC",90431,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:18",83,64,1,16,2,71,53,0,16,2,69,2,80,9,6,0,40,19,0,4,0
22,HUNEDOARA,"CĂMINUL CULTURAL ALMAŞU SEC",336,CÂRJIŢI,86749,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:07:15",206,170,2,32,2,165,130,1,32,2,162,3,180,15,24,4,80,35,3,12,4
22,HUNEDOARA,"CĂMINUL CULTURAL ALUN",292,BOŞOROD,88449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:47",57,51,2,4,0,41,37,0,4,0,41,0,57,16,5,0,13,21,0,2,0
22,HUNEDOARA,"CĂMINUL CULTURAL ARDEU",261,BALŞA,87843,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:08:33",56,49,0,7,0,48,41,0,7,0,47,1,55,7,6,0,21,19,1,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL AUREL VLAICU",206,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:43",790,768,13,7,2,473,460,4,7,2,465,5,850,371,39,2,234,178,2,6,4
22,HUNEDOARA,"CĂMINUL CULTURAL BACEA",381,ILIA,89856,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:20",278,266,0,6,6,151,139,0,6,6,141,10,300,149,28,2,17,87,0,2,5
22,HUNEDOARA,"CĂMINUL CULTURAL BĂCIA",270,BĂCIA,88047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:39",856,843,1,11,1,525,513,0,11,1,502,22,925,401,69,46,88,262,3,30,4
22,HUNEDOARA,"CĂMINUL CULTURAL BĂIȚA",273,BĂIŢA,88092,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:16",1018,990,11,8,9,603,584,2,8,9,596,7,1108,505,58,5,188,330,3,9,3
22,HUNEDOARA,"CĂMINUL CULTURAL BĂLATA",475,ŞOIMUŞ,91330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:56",365,362,0,3,0,245,242,0,3,0,233,9,400,155,33,3,137,51,0,7,2
22,HUNEDOARA,"CĂMINUL CULTURAL BALOMIR",467,SÂNTĂMĂRIA-ORLEA,91232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:42:38",271,258,2,5,6,193,182,0,5,6,184,9,280,87,54,2,26,95,1,5,1
22,HUNEDOARA,"CĂMINUL CULTURAL BERIU",281,BERIU,88261,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:59",612,600,0,8,4,369,357,0,8,4,356,13,700,331,69,5,128,133,4,12,5
22,HUNEDOARA,"CĂMINUL CULTURAL BLĂJENI",287,BLĂJENI,88350,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:09:40",490,416,0,54,20,435,361,0,54,20,420,15,490,55,22,2,178,206,3,8,1
22,HUNEDOARA,"CĂMINUL CULTURAL BOBÂLNA",429,"RAPOLTU MARE",90663,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:33:47",384,371,0,10,3,258,245,0,10,3,241,17,410,152,102,6,19,89,2,23,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOHOLT",476,ŞOIMUŞ,91330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:51:58",279,270,0,6,3,194,185,0,6,3,187,7,300,106,12,2,111,58,0,4,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOIȚA",434,RĂCHITOVA,90725,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:28:24",366,330,0,29,7,281,245,0,29,7,279,2,360,79,31,2,91,147,1,7,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOIU",430,"RAPOLTU MARE",90663,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:54:14",128,119,0,7,2,82,73,0,7,2,79,3,150,68,14,2,26,35,0,2,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOIU DE SUS",373,GURASADA,89687,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:47:39",77,70,0,7,0,57,50,0,7,0,55,2,80,23,1,2,6,46,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOŞOROD",291,BOŞOROD,88449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:17:26",763,732,0,23,8,606,575,0,23,8,587,19,830,224,55,6,240,238,2,45,1
22,HUNEDOARA,"CĂMINUL CULTURAL BOZ",298,BRĂNIŞCA,88546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:46:47",362,344,0,18,0,257,239,0,18,0,253,4,387,130,36,3,90,115,0,9,0
22,HUNEDOARA,"CĂMINUL CULTURAL BOZES",207,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:59:41",195,181,1,10,3,140,126,1,10,3,133,7,220,80,6,1,63,58,0,3,2
22,HUNEDOARA,"CĂMINUL CULTURAL BRĂNIȘCA",297,BRĂNIŞCA,88546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:13",512,481,0,21,10,336,305,0,21,10,319,17,550,164,44,6,93,163,0,9,4
22,HUNEDOARA,"CĂMINUL CULTURAL BRÂZNIC",382,ILIA,89856,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:35",200,186,0,13,1,132,118,0,13,1,127,5,203,71,26,0,14,86,0,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL BRETEA MUREȘANĂ",383,ILIA,89856,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:52:09",480,463,1,10,6,265,249,0,10,6,253,12,522,257,55,1,40,145,4,6,2
22,HUNEDOARA,"CĂMINUL CULTURAL BRETEA STREIULUI",305,"BRETEA ROMÂNĂ",88644,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:40:11",214,209,0,5,0,128,123,0,5,0,125,3,229,101,10,2,15,94,0,3,1
22,HUNEDOARA,"CĂMINUL CULTURAL BUCIUM",404,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:28:05",288,259,0,17,12,237,208,0,17,12,234,3,300,63,20,2,113,91,0,8,0
22,HUNEDOARA,"CĂMINUL CULTURAL BUCIUM-ORLEA",469,SÂNTĂMĂRIA-ORLEA,91232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:27",181,168,1,6,6,180,168,0,6,6,126,4,190,60,17,1,24,74,0,10,0
22,HUNEDOARA,"CĂMINUL CULTURAL BUCUREŞCI",320,BUCUREŞCI,88868,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:54",537,465,3,50,19,437,366,2,50,19,422,15,524,87,28,4,138,244,0,6,2
22,HUNEDOARA,"CĂMINUL CULTURAL BUNILA",327,BUNILA,89026,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:02:20",75,56,0,18,1,61,42,0,18,1,59,2,69,8,10,0,17,28,0,4,0
22,HUNEDOARA,"CĂMINUL CULTURAL BURJUC",330,BURJUC,89080,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:28:00",137,122,1,12,2,101,87,0,12,2,101,0,134,33,10,0,11,53,0,24,3
22,HUNEDOARA,"CĂMINUL CULTURAL CĂINELU DE SUS",274,BĂIŢA,88092,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:45:00",330,319,1,2,8,239,229,0,2,8,235,4,360,121,21,2,45,159,2,3,3
22,HUNEDOARA,"CĂMINUL CULTURAL CÂMPURI-SURDUC",375,GURASADA,89687,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:19",362,329,0,23,10,227,194,0,23,10,218,9,350,123,27,0,15,163,1,4,8
22,HUNEDOARA,"CĂMINUL CULTURAL CÂRJIŢI",335,CÂRJIŢI,86749,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:47",99,70,0,26,3,94,65,0,26,3,93,1,110,16,12,5,19,51,2,2,2
22,HUNEDOARA,"CĂMINUL CULTURAL CÂRNEȘTI",494,TOTEŞTI,91624,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:27:33",373,354,2,7,10,257,240,0,7,10,254,3,400,143,7,1,26,212,0,8,0
22,HUNEDOARA,"CĂMINUL CULTURAL CERIȘOR",391,LELESE,90066,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:53:16",45,39,0,5,1,45,39,0,5,1,44,1,66,21,1,1,2,38,0,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL CERTEJU DE SUS",343,"CERTEJU DE SUS",89240,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:24:17",1187,1154,0,11,22,754,721,0,11,22,739,15,1256,502,94,8,232,347,5,43,10
22,HUNEDOARA,"CĂMINUL CULTURAL CHERGHEŞ",337,CÂRJIŢI,86749,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:02:07",99,78,0,19,2,67,46,0,19,2,65,2,85,18,8,2,25,18,1,11,0
22,HUNEDOARA,"CĂMINUL CULTURAL CHIMINDIA",379,HĂRĂU,89801,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:10:08",308,288,0,13,7,192,172,0,13,7,188,4,319,127,27,2,10,143,0,6,0
22,HUNEDOARA,"CĂMINUL CULTURAL CHIŞCĂDAGA",477,ŞOIMUŞ,91330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:27:47",305,283,0,12,10,237,215,0,12,10,231,6,320,83,11,1,176,37,0,4,2
22,HUNEDOARA,"CĂMINUL CULTURAL CIULPĂZ",411,"PESTIŞU MIC",90431,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:47:28",110,81,0,22,7,93,64,0,22,7,91,2,103,10,9,1,48,29,1,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL COROIEŞTI",457,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:25:33",157,150,0,4,3,123,116,0,4,3,123,0,172,49,14,4,19,85,0,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL COSTEȘTI",405,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:25:12",447,400,3,32,12,337,293,0,32,12,329,7,460,124,84,5,106,118,3,11,2
22,HUNEDOARA,"CĂMINUL CULTURAL COVRAGIU",306,"BRETEA ROMÂNĂ",88644,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:22:32",128,124,0,3,1,79,75,0,3,1,78,1,148,69,10,0,15,51,1,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL COZIA",338,CÂRJIŢI,86749,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:22:56",154,141,0,13,0,115,102,0,13,0,106,9,150,35,35,2,23,36,1,8,1
22,HUNEDOARA,"CĂMINUL CULTURAL CURECHIU",321,BUCUREŞCI,88868,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:51",293,250,0,30,13,272,229,0,30,13,244,2,270,24,10,2,47,179,0,6,0
22,HUNEDOARA,"CĂMINUL CULTURAL DĂBÂCA",489,TOPLIŢA,91535,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:23:42",147,101,0,43,3,122,77,0,43,2,116,6,137,15,26,2,43,45,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL DÂNCU MARE",399,MĂRTINEŞTI,90262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:32:33",234,204,0,27,3,178,148,0,27,3,170,5,230,55,18,0,10,134,0,8,0
22,HUNEDOARA,"CĂMINUL CULTURAL DÂNCU MIC",400,MĂRTINEŞTI,90262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:09:27",88,58,0,29,1,88,58,0,29,1,86,2,120,32,7,0,22,53,1,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL DEALU MARE",509,VĂLIŞOARA,91937,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:07:55",154,142,0,7,5,126,114,0,7,5,124,2,170,44,4,3,37,76,1,2,1
22,HUNEDOARA,"CĂMINUL CULTURAL DEALU MIC",490,TOPLIŢA,91535,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:41:13",51,35,0,16,0,39,23,0,16,0,38,1,53,14,3,1,11,23,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL DENSUȘ",354,DENSUŞ,89348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:41",564,496,1,52,15,442,375,0,52,15,432,10,573,131,24,0,219,169,1,16,3
22,HUNEDOARA,"CĂMINUL CULTURAL DOBRA",359,DOBRA,89428,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:44",1402,1315,0,67,20,880,793,0,67,20,850,30,1492,612,149,12,137,515,3,24,10
22,HUNEDOARA,"CĂMINUL CULTURAL DOBROȚ",486,TOMEŞTI,91447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:33:14",341,311,2,20,8,293,263,2,20,8,284,9,350,57,15,2,138,120,0,9,0
22,HUNEDOARA,"CĂMINUL CULTURAL DUMBRAVA DE JOS",444,RIBIŢA,90805,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:59:26",138,106,1,13,18,119,88,1,13,17,116,3,135,16,2,2,40,69,0,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL FIZEŞ",275,BĂIŢA,88092,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:24:36",251,243,1,4,3,177,170,0,4,3,169,8,270,93,11,0,39,90,2,24,3
22,HUNEDOARA,"CĂMINUL CULTURAL FOLT",431,"RAPOLTU MARE",90663,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:25",145,130,0,13,2,100,85,0,13,2,92,8,156,56,15,3,22,46,0,6,0
22,HUNEDOARA,"CĂMINUL CULTURAL FORNĂDIA",478,ŞOIMUŞ,91330,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:25:09",173,168,0,4,1,130,125,0,4,1,126,4,190,60,23,0,70,32,0,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL FURCȘOARA",299,BRĂNIŞCA,88546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:33:01",42,28,0,13,1,27,13,0,13,1,27,0,50,23,2,1,13,11,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL GENERAL BERTHELOT - CLĂDIRE ANEXĂ AFTER SCHOOL",365,"GENERAL BERTHELOT",91731,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:38",519,504,0,9,6,395,380,0,9,6,388,7,562,167,59,16,169,124,7,11,2
22,HUNEDOARA,"CĂMINUL CULTURAL GODINEŞTI",522,ZAM,92177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:44:46",101,93,0,8,0,77,69,0,8,0,73,4,104,27,9,2,27,34,0,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL GRĂDIȘTEA DE MUNTE",406,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:20:17",142,121,0,17,4,113,92,0,17,4,109,4,140,27,18,1,53,35,0,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL HĂRĂU",376,HĂRĂU,89801,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:21",680,657,0,4,19,402,379,0,4,19,395,7,748,346,52,17,49,258,1,16,2
22,HUNEDOARA,"CĂMINUL CULTURAL HĂRŢĂGANI",276,BĂIŢA,88092,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:09:32",633,614,10,1,8,344,335,0,1,8,333,11,670,326,35,1,133,150,0,11,3
22,HUNEDOARA,"CĂMINUL CULTURAL HOMOROD",211,"ORAŞ GEOAGIU",89561,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:18:23",260,254,0,3,3,186,180,0,3,3,184,2,300,114,13,0,75,89,1,6,0
22,HUNEDOARA,"CĂMINUL CULTURAL HONDOL",345,"CERTEJU DE SUS",89240,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:20",437,414,0,8,15,269,246,0,8,15,266,3,450,181,22,1,95,132,0,9,7
22,HUNEDOARA,"CĂMINUL CULTURAL ILIA",380,ILIA,89856,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:53:20",1450,1391,6,22,31,979,926,0,22,31,883,24,1554,618,122,7,152,579,5,13,5
22,HUNEDOARA,"CĂMINUL CULTURAL IZVOARELE",483,"TELIUCU INFERIOR",86936,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:32:28",86,72,0,10,4,62,48,0,10,4,58,4,100,38,4,1,12,36,0,2,3
22,HUNEDOARA,"CĂMINUL CULTURAL JELEDINŢI",401,MĂRTINEŞTI,90262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:02:17",229,207,0,16,6,166,144,0,16,6,159,7,220,54,5,32,16,74,1,30,1
22,HUNEDOARA,"CĂMINUL CULTURAL LĂPUGIU DE JOS",387,"LĂPUGIU DE JOS",89954,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:58:43",455,347,4,90,14,359,255,1,90,13,352,7,482,123,36,2,142,161,3,5,3
22,HUNEDOARA,"CĂMINUL CULTURAL LĂPUGIU DE SUS",388,"LĂPUGIU DE JOS",89954,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:04",414,290,0,118,6,352,228,0,118,6,342,10,400,48,25,4,40,268,2,1,2
22,HUNEDOARA,"CĂMINUL CULTURAL LĂPUȘNIC",360,DOBRA,89428,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:54:43",395,381,0,10,4,221,207,0,10,4,214,7,414,193,29,1,38,132,2,8,4
22,HUNEDOARA,"CĂMINUL CULTURAL LEȘNIC",512,VEŢEL,91982,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:33",288,272,0,7,9,288,272,0,7,9,284,4,500,212,69,8,89,100,3,9,6
22,HUNEDOARA,"CĂMINUL CULTURAL LUDEŞTII DE JOS",407,"ORĂŞTIOARA DE SUS",90342,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:42:51",284,260,5,14,5,191,172,0,14,5,187,4,293,102,52,0,75,52,2,5,1
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCA",277,BĂIŢA,88092,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:22:29",250,235,0,11,4,176,161,0,11,4,171,5,270,94,30,2,44,92,0,3,0
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCANI",294,BOŞOROD,88449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:00:16",110,98,0,12,0,69,57,0,12,0,61,8,108,39,5,1,21,29,0,5,0
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCOIU DE JOS",396,"LUNCOIU DE JOS",90208,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:01:30",841,810,1,10,20,594,564,0,10,20,572,22,922,328,54,2,297,192,1,24,2
22,HUNEDOARA,"CĂMINUL CULTURAL LUNCOIU DE SUS - MODUL CONTAINER",397,"LUNCOIU DE JOS",90208,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:17:44",629,582,8,14,25,488,445,4,14,25,471,17,675,187,37,1,263,154,3,8,5
22,HUNEDOARA,"CĂMINUL CULTURAL MADA",262,BALŞA,87843,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:03",97,87,0,7,3,79,69,0,7,3,78,1,100,21,2,0,56,19,0,0,1
22,HUNEDOARA,"CĂMINUL CULTURAL MĂGURA-TOPLIȚA",346,"CERTEJU DE SUS",89240,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:48:35",96,86,1,8,1,75,65,1,8,1,71,4,100,25,5,2,24,37,0,1,2
22,HUNEDOARA,"CĂMINUL CULTURAL MĂLĂIEŞTI",458,"SĂLAŞU DE SUS",91116,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:48:36",122,114,0,4,4,103,95,0,4,4,102,0,125,23,8,0,44,48,0,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL MERIŞOR",322,BUCUREŞCI,88868,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:14:36",85,68,0,16,1,81,64,0,16,1,79,2,89,8,6,1,28,44,0,0,0
22,HUNEDOARA,"CĂMINUL CULTURAL MESTEACĂN",57,"MUNICIPIUL BRAD",87291,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:21",415,408,2,3,2,228,222,1,3,2,224,4,500,272,21,3,72,112,0,7,9
