precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FEDORCA AURELIA-PARTIDUL SOCIAL DEMOCRAT-voturi","ZOB ALEXANDRU-ROBERT-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BORHIDAN MIRCEA-DANIEL-FORȚA DREPTEI-voturi"
32,"SATU MARE","CLADIRE DISPENSAR TUR",111,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:01",1592,1585,0,6,1,475,468,0,6,1,452,23,1600,1125,383,48,21
32,"SATU MARE","CREŞA ” CASTELUL PITICILOR”",102,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:24",1183,1172,2,6,3,379,370,0,6,3,367,12,1203,824,313,37,17
32,"SATU MARE","CREŞA ”CASTELUL PITICILOR”",101,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:46",1198,1187,7,3,1,387,383,0,3,1,376,11,1200,813,285,64,27
32,"SATU MARE","LICEUL TEORETIC",109,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:43:17",1269,1252,0,11,6,447,430,0,11,6,430,17,1592,1145,325,49,56
32,"SATU MARE","LICEUL TEORETIC",108,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:57",1410,1385,0,4,21,547,522,0,4,21,530,17,1600,1053,351,100,79
32,"SATU MARE","LICEUL TEORETIC",110,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:49:02",1287,1277,2,7,1,517,509,0,7,1,497,20,1600,1083,374,61,62
32,"SATU MARE","SCOALA GENERALA NR.3",105,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:43",1407,1397,3,4,3,549,542,0,4,3,534,15,1600,1051,378,102,54
32,"SATU MARE","SCOALA GEN,NR.1",107,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:35",895,885,0,8,2,357,347,0,8,2,345,12,976,619,234,64,47
32,"SATU MARE","SCOALA GEN.NR.1",106,"ORAŞ NEGREŞTI-OAŞ",136599,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:55",992,982,1,7,2,386,377,0,7,2,375,11,988,602,257,58,60
32,"SATU MARE","SCOALA GEN.NR,3",103,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:39:50",1186,1177,3,6,0,422,416,0,6,0,405,17,1200,778,271,82,52
32,"SATU MARE","SCOALA GEN.NR.3",104,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:30:53",1427,1420,0,4,3,455,448,0,4,3,442,13,1600,1145,349,58,35
