precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL OAMENILOR TINERI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MOLDOVAN CIPRIAN-ADRIAN-voturi"
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",80,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:27:11",1760,1661,21,78,0,953,875,0,78,0,860,14,1800,926,198,115,91,60,27,318,51
25,ILFOV,"DIRECȚIA DE IMPOZITE ȘI TAXE POPEȘTI-LEORDENI",81,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:28:21",1252,1175,12,65,0,630,565,0,65,0,614,13,1300,673,180,75,26,40,15,239,39
25,ILFOV,"FUNDATIA LEONARDO MURIALDO",89,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:26:20",1899,1878,0,21,0,890,869,0,21,0,881,9,2050,1160,304,80,44,86,20,305,42
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",88,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:12:10",1900,1871,0,29,0,843,814,0,29,0,827,16,2000,1157,219,119,41,88,16,315,29
25,ILFOV,"FUNDAŢIA LEONARDO MURIALDO",87,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:18:27",2004,1961,0,43,0,1002,959,0,43,0,989,13,2200,1198,298,131,60,112,20,327,41
25,ILFOV,"FUNDATIA LEORNARDO MURIALDO",90,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:52:06",1866,1845,0,21,0,874,853,0,21,0,860,14,2000,1126,246,150,52,77,21,286,28
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:50:36",1219,1179,17,23,0,581,558,0,23,0,569,12,1300,719,169,50,44,57,14,218,17
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-11 00:20:42",1027,993,4,30,0,582,552,0,30,0,544,12,1105,549,143,126,68,25,14,142,26
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:25",2500,1734,17,749,0,794,763,0,31,0,780,14,1900,1106,226,53,43,84,37,303,34
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:00",1816,1776,4,36,0,888,852,0,36,0,881,7,2001,1113,275,140,58,49,29,285,45
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",96,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:03:50",1885,1802,5,67,11,1299,1221,0,67,11,1281,18,2000,701,716,272,140,22,14,104,13
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",95,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-11 00:26:29",1919,1848,1,51,19,1366,1296,0,51,19,1296,43,2100,761,629,401,123,24,11,92,16
25,ILFOV,"LICEUL TEORETIC RADU POPESCU CORP E",97,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:38:07",1836,1797,2,37,0,1236,1199,0,37,0,1137,29,2070,834,483,397,102,22,12,105,16
25,ILFOV,"PROPRIETATE PRIVATĂ PUȘA HACK",102,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:22:34",1574,1547,10,17,0,720,703,0,17,0,717,3,1700,980,313,123,38,26,20,169,28
25,ILFOV,"SC IRIMPEX COM SRL",101,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:50:26",482,464,0,18,0,356,338,0,18,0,346,7,500,147,234,59,26,2,3,20,2
25,ILFOV,"SC IRIMPEX COM SRL",100,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:06:10",1695,1674,1,14,6,1223,1203,0,14,6,1189,16,1800,595,972,125,44,10,5,31,2
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",91,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:17:37",1945,1840,3,88,14,1398,1296,0,88,14,1266,25,2000,707,582,301,102,33,18,207,23
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",94,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:39:39",1149,1124,0,23,2,616,591,0,23,2,594,22,1200,584,250,121,62,25,13,117,6
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",93,"ORAŞ POPEŞTI-LEORDENI",179533,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:49:52",1893,1834,7,49,3,1242,1189,1,49,3,1215,27,2000,758,613,262,116,32,16,166,10
25,ILFOV,"ŞCOALA GIMNAZIALĂ IOAN BĂDESCU",92,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:56:54",1455,1402,0,44,9,1085,1032,0,44,9,1057,28,1600,515,402,352,125,30,8,117,23
