precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"ASOCIAȚIA ”SFÂNTUL VOIEVOD ŞTEFAN CEL MARE- HÂRJA”",475,OITUZ,23797,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:05",240,233,0,7,0,65,58,0,7,0,59,6,300,235,12,15,25,1,4,2
4,BACĂU,"CĂMINUL CULTURAL ”OLGA MARIA TUDORACHE” OITUZ",472,OITUZ,23797,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:55:22",1011,1009,0,1,1,397,395,0,1,1,381,15,1100,704,203,59,110,3,6,0
4,BACĂU,"GRĂDINIŢA CĂLCÂI",473,OITUZ,23797,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:06",386,386,0,0,0,192,192,0,0,0,189,3,402,210,99,13,73,2,1,1
4,BACĂU,"GRĂDINIȚA CU PROGRAM NORMAL FERESTRĂU",474,OITUZ,23797,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:46:37",877,868,3,5,1,414,407,1,5,1,400,14,1000,586,176,57,147,5,10,5
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL MARGINEA",476,OITUZ,23797,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:17",611,611,0,0,0,311,311,0,0,0,294,17,700,389,134,26,111,3,19,1
4,BACĂU,"GRĂDINIȚA CU PROGRAM NORMAL POIANA-SĂRATĂ",477,OITUZ,23797,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:01",253,246,2,5,0,129,124,0,5,0,117,12,300,171,36,18,49,4,9,1
4,BACĂU,"ȘCOALĂ GIMNAZIALĂ COMUNA OITUZ ( GRĂDINIȚA NR.2 OITUZ)",469,OITUZ,23797,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:13",909,904,0,5,0,399,394,0,5,0,384,15,1000,601,206,41,113,2,14,8
4,BACĂU,"ȘCOALĂ GIMNAZIALĂ COMUNA OITUZ ( GRĂDINIȚA NR.2 OITUZ)",468,OITUZ,23797,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:41:33",548,543,3,1,1,251,249,0,1,1,242,9,600,349,132,26,74,1,5,4
4,BACĂU,"SCOALA GIMNAZIALA NR. 1 OITUZ",470,OITUZ,23797,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:14:24",1276,1273,1,0,2,599,597,0,0,2,579,20,1300,701,306,56,194,2,16,5
4,BACĂU,"ȘCOALA GIMNAZIALĂ NR.1 OITUZ",471,OITUZ,23797,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:40:06",1434,1430,0,1,3,625,621,0,1,3,596,29,1600,975,312,60,194,16,8,6
