precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXANDRU IONUŢ-CIPRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","COBZARU SILE-PARTIDUL MIȘCAREA POPULARĂ-voturi","MINA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PETCU TOMA-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CÂNDEA IOSIF-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUDURU CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
19,GIURGIU,"AFTER SCHOOL VALEA DRAGULUI",232,"VALEA DRAGULUI",105776,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 10:47:49",1064,1034,0,18,12,861,831,0,18,12,845,16,1137,276,7,4,89,511,232,2
19,GIURGIU,"AGENȚIA PENTRU PROTECȚIA MEDIULUI GIURGIU SALA DE CONSILIU",23,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:57:57",1741,1725,4,9,3,648,636,0,9,3,612,36,1914,1266,21,11,216,260,83,21
19,GIURGIU,"CAMIN CULTURAL",110,DAIA,102446,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:24:47",545,477,1,47,20,402,335,0,47,20,378,24,546,144,6,5,68,268,28,3
19,GIURGIU,"CAMIN CULTURAL BUTURUGENI",87,BUTURUGENI,101617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:03",622,588,0,17,17,474,440,0,17,17,466,8,660,186,17,3,101,310,32,3
19,GIURGIU,"CĂMIN CULTURAL VEDEA",244,VEDEA,105909,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:36:47",795,711,0,56,28,688,604,0,56,28,591,97,765,77,4,1,172,379,32,3
19,GIURGIU,"CĂMINUL CULTURAL",96,COLIBAŞI,102071,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:52:25",826,795,0,6,25,642,612,0,6,24,634,8,908,266,8,8,88,496,27,7
19,GIURGIU,"CĂMINUL CULTURAL BOLINTIN - DEAL",75,BOLINTIN-DEAL,101163,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:35:18",1446,1411,3,25,7,820,788,0,25,7,777,43,1564,744,29,18,285,384,50,11
19,GIURGIU,"CĂMINUL CULTURAL BULBUCATA",85,BULBUCATA,101519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:45",1235,1082,2,149,2,914,763,0,149,2,906,8,1180,266,30,0,103,756,10,7
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:53",1340,1260,5,18,57,961,886,0,18,57,961,0,1441,480,0,6,85,839,29,2
19,GIURGIU,"CĂMINUL CULTURAL FRĂTEŞTI",120,FRĂTEŞTI,102909,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:37:30",1367,1286,2,41,38,875,796,0,41,38,842,33,1450,575,12,17,274,477,53,9
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:46:18",576,545,0,13,18,399,368,0,13,18,387,12,633,234,2,1,44,322,17,1
19,GIURGIU,"CĂMINUL CULTURAL HULUBEŞTI",92,CĂLUGĂRENI,101662,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:42:22",1248,1222,0,26,0,924,898,0,26,0,887,37,1342,418,4,3,257,575,37,11
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:25:56",1068,771,1,296,0,918,622,0,296,0,889,29,924,6,14,11,407,403,48,6
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:36:23",795,665,0,103,27,640,510,0,103,27,634,6,755,115,13,0,87,508,26,0
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 10:55:11",749,670,2,52,25,552,473,2,52,25,548,4,755,203,5,6,154,372,10,1
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:53:35",875,796,1,42,36,673,595,0,42,36,659,14,915,242,5,7,274,317,47,9
19,GIURGIU,"CĂMINUL CULTURAL MILCOVĂȚU",173,"LETCA NOUĂ",104047,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:03:26",1255,1071,0,146,38,1052,868,0,146,38,1020,32,1209,157,4,3,323,643,42,5
19,GIURGIU,"CĂMINUL CULTURAL OINACU",184,OINACU,104519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:28",1350,1207,2,20,121,900,759,0,20,121,872,28,1471,571,2,4,47,798,16,5
19,GIURGIU,"CĂMINUL CULTURAL REMUŞ",124,FRĂTEŞTI,102909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:35:53",1769,1632,6,91,40,1148,1017,0,91,40,1093,55,1789,641,23,22,173,775,76,24
19,GIURGIU,"CĂMINUL CULTURAL STOENEŞTI",218,STOENEŞTI,105348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:05:40",936,818,0,79,39,696,578,0,79,39,678,18,901,205,7,9,189,431,38,4
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:39:09",771,763,0,7,1,239,231,0,7,1,230,9,843,604,5,5,70,111,21,18
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:10",839,835,0,3,1,337,333,0,3,1,326,11,925,588,19,6,91,148,55,7
19,GIURGIU,"CASA DE CULTURĂ PUTINEIU",190,PUTINEIU,104715,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:38:32",1011,900,0,98,13,814,703,0,98,13,790,24,989,175,10,14,255,487,19,5
19,GIURGIU,"CENTRUL DE ASISTENŢĂ DUPĂ PROGRAMUL ŞCOLAR, DĂRĂŞTI-VLAŞCA",66,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:04:06",1606,1589,0,16,1,867,850,0,16,1,838,29,1745,878,5,2,69,705,56,1
19,GIURGIU,"CLADIREA PRIMARIEI GHIMPATI",135,GHIMPAŢI,103238,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:11",583,481,1,45,56,424,322,1,45,56,413,11,591,167,21,0,27,337,24,4
