precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUBĂLARU EUGEN-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CARAGAŢĂ FLORIN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","OANCEA SILVIU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAVEL MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","TELEHUZ DRAGOŞ-COSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","PEIU GRIGORE-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","COSTEA ADRIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
23,IALOMIŢA,"CĂMIN CULTURAL, SAT SINTEŞTI",114,BORĂNEŞTI,179784,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:08",318,311,0,7,0,227,220,0,7,0,216,11,347,120,43,0,14,67,6,80,6,0
23,IALOMIŢA,"CĂMINUL CULTURAL",220,VLĂDENI,94795,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:04:39",737,725,0,4,8,473,461,0,4,8,459,14,800,327,1,1,20,342,5,68,21,1
23,IALOMIŢA,"CĂMINUL CULTURAL",118,BUCU,93021,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:50:34",1015,1006,2,1,6,565,558,0,1,6,546,19,1100,535,60,9,49,313,2,81,23,9
23,IALOMIŢA,"CĂMINUL CULTURAL",154,GRINDU,93717,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:58:49",752,725,5,19,3,497,474,1,19,3,474,23,800,303,10,0,19,336,1,101,7,0
23,IALOMIŢA,"CĂMINUL CULTURAL",155,GRINDU,93717,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:38:57",725,708,0,16,1,501,484,0,16,1,486,15,788,287,12,1,23,317,2,116,13,2
23,IALOMIŢA,"CĂMINUL CULTURAL",119,BUCU,93021,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:01:22",994,978,0,3,13,545,529,0,3,13,524,21,1103,558,45,10,36,297,4,110,18,4
23,IALOMIŢA,"CĂMINUL CULTURAL",219,VLĂDENI,94795,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:46:34",848,842,0,0,6,536,530,0,0,6,513,23,934,398,3,1,24,377,9,76,21,2
23,IALOMIŢA,"CĂMINUL CULTURAL COSÂMBEŞTI",132,COSÂMBEŞTI,93236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:30:22",817,782,1,16,18,524,489,1,16,18,510,14,872,348,20,8,50,221,2,181,21,7
23,IALOMIŢA,"CAMINUL CULTURAL COSERENI",134,COŞERENI,102240,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:45",1252,1223,1,18,10,848,820,0,18,10,818,30,1360,512,33,7,58,327,114,229,47,3
23,IALOMIŢA,"CĂMINUL CULTURAL DRĂGOEŞTI",137,DRĂGOEŞTI,102641,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:28",768,693,0,50,25,582,507,0,50,25,550,32,789,207,32,2,71,420,4,8,12,1
23,IALOMIŢA,"CĂMINUL CULTURAL MALU,SALONUL DE NUNŢI SITUATĂ ÎN MALU",208,"SFÂNTU GHEORGHE",94456,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:31:26",844,839,2,2,1,573,569,1,2,1,560,13,919,346,61,1,33,200,7,234,19,5
23,IALOMIŢA,"CĂMINUL CULTURAL SAT LILIECI",210,SINEŞTI,105026,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:31:07",891,875,2,14,0,476,462,0,14,0,464,12,951,475,14,0,71,289,6,45,35,4
23,IALOMIŢA,"CĂMINUL CULTURAL SITUATĂ ÎN SATUL SINEŞTI, SINEŞTI",209,SINEŞTI,105026,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:55:13",1302,1273,0,29,0,824,795,0,29,0,797,27,1400,576,41,0,55,614,3,59,23,2
23,IALOMIŢA,"CASA DE CULTURĂ",62,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:38:43",1123,1114,0,9,0,564,555,0,9,0,545,19,1250,686,79,6,28,209,11,152,55,5
23,IALOMIŢA,"CASA MUNICIPALĂ DE CULTURĂ „NICOLAE ROTARU”",13,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:41:00",1295,1288,2,4,1,494,489,0,4,1,475,19,1458,964,44,18,55,209,20,100,22,7
23,IALOMIŢA,"CENTRUL COMUNITAR MULTIFUNCȚIONAL VALEA CIORII",216,"VALEA CIORII",94688,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:35:58",1419,1354,1,15,49,1015,951,0,15,49,977,38,1536,521,64,3,42,591,3,254,19,1
23,IALOMIŢA,"CENTRUL DE EDUCAȚIE NON-FORMALĂ",10,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:32:19",1370,1365,1,4,0,614,610,0,4,0,579,35,1550,929,35,39,60,296,0,124,12,13
23,IALOMIŢA,"CENTRUL SOCIAL AL PAROHIEI FETEȘTI GARĂ II",55,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:25:38",1273,1268,0,5,0,429,424,0,5,0,409,20,1400,971,22,1,35,273,18,42,17,1
23,IALOMIŢA,"CENTRU SOCIAL DE ZI VIITORUL",207,"SFÂNTU GHEORGHE",94456,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:28:19",604,583,1,6,14,434,413,1,6,14,425,9,660,226,21,5,37,190,2,148,19,3
23,IALOMIŢA,"CLUBUL SINDICATELOR",65,"MUNICIPIUL URZICENI",100683,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:48:06",1541,1529,0,11,1,740,728,0,11,1,700,40,1700,960,93,5,53,280,7,171,87,4
23,IALOMIŢA,"COLEGIUL NAȚIONAL „MIHAI VITEAZUL” (FOST LICEU DE MATEMATICĂ-FIZICĂ)",5,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:09:59",1131,1125,0,6,0,499,493,0,6,0,487,12,1257,758,30,22,42,229,25,116,12,11
23,IALOMIŢA,"CONTAINER MODULAR(TEREN FOSTA GRĂDINIŢĂ COPUZU)",104,BALACIU,92907,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:17",224,222,0,2,0,124,122,0,2,0,109,15,250,126,15,1,24,36,5,23,4,1
23,IALOMIŢA,"CONTAINER(SITUAT IN CURTEA GRĂDINIȚEI CU PROGRAM NORMAL MARSILIENI)",92,ALBEŞTI,92783,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:43",409,387,0,4,18,281,259,0,4,18,259,22,450,169,7,0,20,204,0,20,6,2
23,IALOMIŢA,"DIRECȚIA PENTRU AGRICULTURĂ JUDEȚEANĂ IALOMIȚA",11,"MUNICIPIUL SLOBOZIA",92658,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 23:12:09",933,927,0,6,0,364,358,0,6,0,344,16,1050,686,12,11,33,162,10,90,20,6
23,IALOMIŢA,"FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL FUNDATA",186,PERIEŢI,94161,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:25:24",401,393,1,6,1,219,211,1,6,1,215,4,430,211,14,5,30,85,3,65,7,6
23,IALOMIŢA,"FOSTĂ ȘCOALA GIMNAZIALĂ”MIHAI VITEAZUL” - LOCAL BULIGA",34,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:51",864,858,1,5,0,369,364,0,5,0,354,15,950,581,9,1,23,271,4,25,20,1
23,IALOMIŢA,"FOSTA ŞCOALA NR. 1",88,"ORAŞ ŢĂNDĂREI",92765,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:57:25",1098,1095,0,3,0,270,267,0,3,0,236,34,1228,958,11,0,9,187,8,17,3,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL BORDUȘELU",123,CIOCHINA,93101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:44",611,556,0,55,0,485,430,0,55,0,463,22,600,115,2,1,10,182,6,259,2,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL FRUMUȘICA",100,AXINTELE,100923,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:14:04",759,748,0,8,3,478,470,0,8,0,438,40,830,352,46,4,84,191,5,99,7,2
23,IALOMIŢA,"GRADINIȚA CU PROGRAM NORMAL GIMBĂŞANI",133,COSÂMBEŞTI,93236,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:13",734,713,1,9,11,497,477,0,9,11,485,12,800,303,84,5,28,138,8,207,11,4
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL IAZU",206,SCÂNTEIA,94429,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:48:15",794,787,1,6,0,390,384,0,6,0,375,15,868,478,49,3,38,195,49,34,6,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL OREZU",124,CIOCHINA,93101,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:41:02",598,585,0,11,2,408,395,0,11,2,361,21,652,244,6,0,30,117,13,182,13,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL PROGRESU",145,FĂCĂENI,93575,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:05",501,491,0,8,2,230,220,0,8,2,223,7,567,337,19,2,93,87,2,9,10,1
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL SMIRNA",158,GRIVIŢA,93735,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:27:01",726,691,0,9,26,455,420,0,9,26,436,19,775,320,16,4,29,214,3,154,13,3
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TRAIAN",214,TRAIAN,179702,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:40:28",1161,1098,0,10,53,835,775,0,10,50,796,39,1300,465,5,2,23,367,1,388,10,0
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:25",639,631,0,8,0,327,319,0,8,0,318,9,750,423,50,4,31,133,4,66,28,2
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA”",47,"MUNICIPIUL FETEŞTI",92701,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:19:50",1019,1010,0,8,1,413,404,0,8,1,394,19,1100,687,19,4,41,261,14,35,16,4
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 22:25:40",1281,1270,1,10,0,633,623,0,10,0,623,10,1445,812,53,37,33,282,21,164,22,11
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:57:15",1448,1439,1,8,0,694,686,0,8,0,678,16,1600,906,74,16,36,306,26,202,10,8
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL ”",71,"ORAŞ AMARA",92836,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:17",1042,1041,0,0,1,524,523,0,0,1,500,24,1150,626,51,10,106,199,8,105,14,7
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL”",70,"ORAŞ AMARA",92836,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 22:52:14",1293,1285,2,5,1,680,674,0,5,1,646,23,1400,729,32,11,159,230,6,174,21,13
23,IALOMIŢA,"GRĂDINIŢA DE COPII",61,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:02:29",942,929,3,8,2,470,460,0,8,2,446,24,1000,530,78,4,36,146,12,126,39,5
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOARĂ",139,DRIDU,102703,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:54:27",813,802,0,11,0,503,492,0,11,0,483,20,800,297,19,2,54,364,0,23,18,3
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOVILA",140,DRIDU,102703,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:41:19",517,504,0,13,0,272,259,0,13,0,259,13,600,328,9,2,25,200,0,14,7,2
23,IALOMIŢA,"GRĂDINIŢA DRIDU –SNAGOV",141,DRIDU,102703,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:04:31",308,298,0,10,0,216,206,0,10,0,206,10,396,180,1,0,11,177,1,6,9,1
23,IALOMIŢA,"GRADINITA ION ROATA (LOCALUL VECHI COLINELE)",162,"ION ROATĂ",103862,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:42:20",757,745,2,8,2,442,432,0,8,2,409,33,820,378,54,8,74,139,14,77,34,9
23,IALOMIŢA,"GRADINIŢA PĂTRIME",136,COŞERENI,102240,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:37:49",1022,1011,0,6,5,727,716,0,6,5,699,28,1118,391,36,1,36,282,122,172,46,4
23,IALOMIŢA,"GRĂDINIŢA SĂVENI",202,SĂVENI,94376,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:26",1181,1176,0,1,4,546,541,0,1,4,534,12,1300,754,31,3,49,406,12,9,21,3
23,IALOMIŢA,"GRĂDINIȚA SCÂNTEIA",204,SCÂNTEIA,94429,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:33:36",1128,1111,0,7,10,628,611,0,7,10,611,17,1240,612,5,2,86,478,7,19,13,1
23,IALOMIŢA,"GRĂDINIŢA ȘCOLII GIMNAZIALE ”DIMITRIE CANTEMIR”",51,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:47:10",1109,1105,0,3,1,547,543,0,3,1,533,14,1250,703,34,3,52,358,14,46,19,7
23,IALOMIŢA,"GRUPUL ŞCOLAR ’’SF. ECATERINA’’",63,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:39:50",1229,1221,0,7,1,620,612,0,7,1,603,17,1400,780,78,6,40,243,9,158,62,7
23,IALOMIŢA,"INTERNATUL COLEGIULUI NATIONAL GRIGORE MOISIL",68,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 12:05:53",1056,1054,0,2,0,502,500,0,2,0,485,17,1150,648,64,7,37,189,9,124,45,10
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:07:12",1372,1362,2,6,2,652,644,0,6,2,643,9,1386,734,53,23,46,267,24,214,8,8
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 22:32:03",1129,1120,0,8,1,466,457,0,8,1,455,11,1250,784,8,12,36,204,16,126,16,37
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” - ATELIERELE DE CREAȚIE",29,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 21:58:43",1795,1781,4,9,1,904,894,0,9,1,885,19,1950,1046,73,57,65,400,22,239,22,7
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",24,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:07:06",1052,1043,0,8,1,530,521,0,8,1,505,25,1153,623,54,15,14,238,11,150,15,8
23,IALOMIŢA,"LICEUL DE ARTE „IONEL PERLEA” (FOSTA ȘCOALA GENERALĂ NR. 1)",25,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 23:19:47",965,955,2,8,0,491,483,0,8,0,471,20,1050,559,44,24,33,196,20,141,8,5
23,IALOMIŢA,"LICEUL PEDAGOGIC ”MATEI BASARAB” (FOSTĂ ȘCOALA NORMALĂ)",6,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:54:45",1413,1405,0,8,0,646,638,0,8,0,629,17,1550,904,53,33,59,254,20,178,16,16
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",2,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:04:29",1383,1376,2,5,0,612,606,1,5,0,591,15,1500,879,48,32,53,264,13,167,7,7
23,IALOMIŢA,"LICEUL TEHNOLOGIC”ALEXANDRU IOAN CUZA”(FOSTUL LICEU DE CONSTRUCȚII)",1,"MUNICIPIUL SLOBOZIA",92658,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 23:36:30",1530,1509,5,8,8,606,590,0,8,8,580,24,1700,1096,27,18,70,250,18,166,25,6
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”",43,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:44:45",939,912,0,8,19,453,426,0,8,19,435,18,1050,597,22,2,23,309,6,49,21,3
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",57,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:35:06",1411,1403,0,7,1,498,490,0,7,1,475,23,1550,1052,14,5,69,297,14,39,35,2
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",58,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:07:13",1069,1063,0,6,0,342,336,0,6,0,318,24,1226,884,14,5,21,202,3,44,24,5
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”( FOSTA ȘCOALĂ NR.5)",56,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:48:59",1259,1253,0,6,0,362,356,0,6,0,344,18,1376,1014,10,2,23,239,5,40,21,4
23,IALOMIŢA,"LICEUL TEHNOLOGI CĂZĂNEȘTI",76,"ORAŞ CĂZĂNEŞTI",93067,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:05:24",1357,1323,0,14,20,755,721,0,14,20,705,50,1425,670,40,107,71,308,8,141,28,2
23,IALOMIŢA,"LICEUL TEHNOLOGIC, CORP B",75,"ORAŞ CĂZĂNEŞTI",93067,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:34:17",1395,1354,1,10,30,730,690,0,10,30,714,16,1600,870,77,63,56,330,10,150,24,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ",46,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:02:51",1381,1373,0,8,0,635,627,0,8,0,611,24,1500,863,22,5,43,430,14,56,32,9
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C 1",49,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:21",821,817,1,2,1,308,305,0,2,1,303,5,900,592,25,1,27,189,11,31,15,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C1",50,"MUNICIPIUL FETEŞTI",92701,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:52:27",956,945,0,8,3,403,392,0,8,3,392,11,978,575,18,3,49,250,7,37,24,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",8,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:37:25",1430,1420,2,7,1,638,630,0,7,1,623,15,1603,965,52,50,55,261,18,157,22,8
23,IALOMIŢA,"LICEUL TEHNOLOGIC „ÎNĂLȚAREA DOMNULUI” (FOSTA ȘCOALA GENERALĂ NR. 6)",9,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:29:25",1245,1238,2,5,0,482,477,0,5,0,472,10,1401,919,23,22,49,231,17,116,10,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”MIHAI EMINESCU” (LICEUL DE CHIMIE)",14,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:40",1042,1022,7,13,0,399,386,0,13,0,387,12,1150,751,28,19,37,171,8,102,13,9
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI",80,"ORAŞ ŢĂNDĂREI",92765,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:21:28",1362,1354,1,5,2,504,497,0,5,2,488,16,1572,1068,59,5,80,235,26,63,15,5
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI (ȘCOALA GIMNAZIALĂ NR. 1)",85,"ORAŞ ŢĂNDĂREI",92765,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:43:45",1546,1538,1,7,0,487,480,0,7,0,461,26,1700,1213,75,5,51,256,20,37,13,4
23,IALOMIŢA,"LICEUL TEHNOLOGIC ȚĂNDĂREI (ȘCOALA GIMNAZIALĂ NR. 1)",86,"ORAŞ ŢĂNDĂREI",92765,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:25:57",969,962,0,7,0,190,183,0,7,0,168,22,1050,860,3,2,2,146,2,11,2,0
23,IALOMIŢA,"LICEUL TEHNOLOGIC URZICENI",69,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:24:13",1649,1648,1,0,0,777,777,0,0,0,716,61,1828,1051,76,8,75,207,9,273,64,4
23,IALOMIŢA,"LICEUL TEORETIC ”CAROL I”",44,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:24:36",1334,1324,1,8,1,584,574,1,8,1,552,32,1500,916,30,3,45,346,14,78,27,9
