precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"ARENA SEPSI",47,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:43:52",127,115,2,8,2,90,80,0,8,2,89,1,200,110,2,5,4,2,68,0,6,2
15,COVASNA,"BIROUL INFOTURISM",183,SÂNZIENI,64826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:17:59",1196,1120,1,6,69,693,618,0,6,69,672,21,1228,535,11,3,1,5,627,0,23,2
15,COVASNA,"CĂMIN CULTURAL",50,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:49",393,387,0,6,0,193,187,0,6,0,190,3,504,311,4,5,3,2,142,0,3,31
15,COVASNA,"CĂMIN CULTURAL",49,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:23",712,703,0,5,4,312,303,0,5,4,301,11,800,488,7,10,16,2,253,0,6,7
15,COVASNA,"CĂMIN CULTURAL FLOROAIA",89,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:44",1180,1171,2,7,0,631,624,0,7,0,602,29,1300,669,85,134,199,160,3,20,1,0
15,COVASNA,"CĂMIN CULTURAL RACOŞUL DE SUS",74,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:36",748,734,3,3,8,355,344,0,3,8,321,34,800,445,14,15,7,3,256,0,16,10
15,COVASNA,"CĂMIN CULTURAL ZĂLAN",106,BODOC,63893,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:16",533,523,1,0,9,297,288,0,0,9,288,9,600,303,8,2,2,4,266,0,4,2
15,COVASNA,"CĂMINUL CULTURAL BAŢANII MICI",99,BĂŢANI,63802,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:28",436,436,0,0,0,234,234,0,0,0,217,17,492,258,5,0,5,3,197,0,3,4
15,COVASNA,"CĂMINUL CULTURAL BIBORŢENI",70,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:09:06",563,556,1,0,6,341,334,1,0,6,326,15,600,259,9,3,9,2,274,0,20,9
15,COVASNA,"CĂMINUL CULTURAL BIXAD",103,BIXAD,65121,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:53:30",1390,1362,4,3,21,645,621,0,3,21,615,30,1528,883,32,3,6,13,523,1,14,23
15,COVASNA,"CĂMINUL CULTURAL BRĂDET",88,"ORAŞ ÎNTORSURA BUZĂULUI",63580,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:38:28",990,981,3,5,1,460,454,0,5,1,438,22,1100,637,68,104,127,105,3,29,1,1
15,COVASNA,"CĂMINUL CULTURAL CĂPENI",72,"ORAŞ BARAOLT",63447,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:44",813,806,1,0,6,405,399,0,0,6,392,13,900,495,14,5,1,0,314,0,22,36
15,COVASNA,"CĂMINUL CULTURAL CATALINA",123,CATALINA,64130,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:06",1085,1082,1,0,2,621,619,0,0,2,574,47,1137,516,41,11,7,12,403,3,94,3
15,COVASNA,"CĂMINUL CULTURAL CHICHIŞ",133,CHICHIŞ,64238,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:19:15",849,800,4,5,40,582,536,1,5,40,555,27,913,331,36,17,9,34,451,1,3,4
15,COVASNA,"CĂMINUL CULTURAL DALNIC",136,DALNIC,65147,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:34",756,754,0,2,0,407,405,0,2,0,332,75,828,421,15,14,3,2,238,0,59,1
15,COVASNA,"CĂMINUL CULTURAL DIN BODOC",104,BODOC,63893,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:45:02",935,916,3,1,15,629,612,1,1,15,612,17,990,361,12,2,1,8,574,3,10,2
15,COVASNA,"CĂMINUL CULTURAL DIN SATUL FOTOŞ",149,GHIDFALĂU,64345,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:22:31",297,291,0,0,6,215,209,0,0,6,209,6,300,85,5,2,0,1,191,0,6,4
15,COVASNA,"CĂMINUL CULTURAL DIN SATUL GHIDFALĂU",147,GHIDFALĂU,64345,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:23:24",933,914,4,2,13,427,409,3,2,13,406,21,1059,632,18,1,2,2,363,1,18,1
15,COVASNA,"CĂMINUL CULTURAL ESTELNIC",141,ESTELNIC,65154,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:12:48",714,687,2,4,21,401,375,1,4,21,378,23,690,289,10,0,3,6,346,0,11,2
15,COVASNA,"CĂMINUL CULTURAL HĂGHIG",151,HĂGHIG,64390,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:13:50",1494,1441,1,20,32,868,816,0,20,32,736,132,1615,747,252,143,23,122,101,84,6,5
15,COVASNA,"CĂMINUL CULTURAL HĂTIUCA",124,CATALINA,64130,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:30",369,366,1,2,0,260,258,0,2,0,248,12,399,139,10,12,4,1,167,51,3,0
15,COVASNA,"CĂMINUL CULTURAL HILIB",169,OJDULA,64602,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:43:59",212,204,1,6,1,132,125,0,6,1,125,7,300,168,8,1,0,1,104,0,11,0
15,COVASNA,"CĂMINUL CULTURAL ILIENI",153,ILIENI,64425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:14:12",905,876,4,4,21,647,623,0,4,20,614,25,935,296,17,13,7,3,453,0,101,20
15,COVASNA,"CĂMINUL CULTURAL LISNĂU",173,OZUN,64639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:29:55",441,436,2,3,0,199,196,0,3,0,186,13,500,301,9,16,5,9,140,0,4,3
15,COVASNA,"CĂMINUL CULTURAL LUNGA",65,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:29",978,957,1,6,14,422,402,0,6,14,402,20,1100,678,10,8,3,4,340,0,22,15
15,COVASNA,"CĂMINUL CULTURAL LUTOASA",162,MERENI,65105,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:36:13",336,321,0,3,12,201,186,0,3,12,193,8,400,199,3,0,1,1,184,0,2,2
15,COVASNA,"CĂMINUL CULTURAL MĂRCUŞA",126,CATALINA,64130,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:09:40",503,503,0,0,0,267,267,0,0,0,246,21,600,333,3,8,6,2,191,0,36,0
15,COVASNA,"CĂMINUL CULTURAL MERENI",161,MERENI,65105,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:26:58",691,662,0,6,23,396,367,0,6,23,388,8,724,328,11,3,1,6,364,0,1,2
15,COVASNA,"CĂMINUL CULTURAL NR.1 ZAGON",206,ZAGON,65011,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:57:32",1623,1527,1,23,72,1140,1044,1,23,72,1051,79,1800,670,53,28,6,19,933,7,4,1
15,COVASNA,"CĂMINUL CULTURAL OZUN",170,OZUN,64639,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:43:08",941,929,3,0,9,403,394,0,0,9,370,33,1022,619,11,28,11,8,296,1,13,2
15,COVASNA,"CĂMINUL CULTURAL PĂPĂUŢI",208,ZAGON,65011,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:23",989,965,2,3,19,601,579,0,3,19,574,27,1100,499,131,44,78,35,277,7,1,1
15,COVASNA,"CĂMINUL CULTURAL PETENI",212,ZĂBALA,65048,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:51:03",147,133,1,6,7,64,51,0,6,7,53,11,200,136,7,2,1,1,41,0,1,0
15,COVASNA,"CĂMINUL CULTURAL PETRICENI",186,SÂNZIENI,64826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:11",696,667,0,2,27,329,300,0,2,27,310,12,800,478,5,5,5,1,287,0,4,3
15,COVASNA,"CĂMINUL CULTURAL RECI",179,RECI,64773,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:34",1217,1187,0,3,27,649,619,0,3,27,623,26,1200,551,16,9,6,3,576,1,10,2
15,COVASNA,"CĂMINUL CULTURAL SACIOVA",182,RECI,64773,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:13:50",114,104,0,4,6,79,69,0,4,6,71,8,200,121,2,0,1,1,66,0,0,1
15,COVASNA,"CĂMINUL CULTURAL SURCEA",213,ZĂBALA,65048,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:53",488,480,0,4,4,272,264,0,4,4,259,13,500,228,11,3,2,2,228,0,8,5
15,COVASNA,"CĂMINUL CULTURAL TĂLIŞOARA",118,BRĂDUŢ,64041,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:56",609,581,1,3,24,394,367,0,3,24,378,16,700,306,14,3,0,3,344,0,8,6
15,COVASNA,"CĂMINUL CULTURAL TAMAŞFALĂU",214,ZĂBALA,65048,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:04",386,375,0,7,4,186,175,0,7,4,179,7,400,214,5,2,0,2,154,0,14,2
15,COVASNA,"CĂMINUL CULTURAL TINOASA",64,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:04",352,346,0,6,0,155,149,0,6,0,148,7,400,245,3,4,2,1,122,0,13,3
15,COVASNA,"CĂMINUL CULTURAL ŢUFALAU",111,"BOROŞNEU MARE",63937,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:48:34",200,170,0,17,13,132,102,0,17,13,131,1,200,68,26,1,6,0,94,0,2,2
15,COVASNA,"CĂMINUL CULTURAL TURIA",193,TURIA,64871,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:57",1001,966,0,1,34,474,439,0,1,34,452,22,1061,587,11,0,3,5,425,0,6,2
15,COVASNA,"CĂMINUL CULTURAL VALEA SCURTĂ",142,ESTELNIC,65154,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:58:40",225,211,0,3,11,142,128,0,3,11,136,6,300,158,3,5,1,1,123,0,2,1
15,COVASNA,"CĂMINUL CULTURAL VÎRGHIŞ",205,VÂRGHIŞ,64997,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:02:37",1521,1443,5,7,66,814,740,1,7,66,760,54,1599,785,35,14,13,4,606,0,63,25
15,COVASNA,"CĂMINUL CULTURAL ZĂBALA",209,ZĂBALA,65048,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:52:48",1268,1232,2,8,26,597,563,0,8,26,531,66,1310,713,24,0,6,10,463,0,22,6
