precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"CENTRUL CULTURAL ”ADRIAN PĂUNESCU”",242,"ORAŞ MIZIL",131407,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:49:32",1374,1366,2,6,0,550,544,0,6,0,520,30,1500,950,60,78,256,34,21,71
31,PRAHOVA,"LICEUL TEHNOLOGIC ”TASE DUMITRESCU ” MIZIL",239,"ORAŞ MIZIL",131407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:24",1008,1002,0,6,0,315,309,0,6,0,282,33,1100,785,37,27,160,21,12,25
31,PRAHOVA,"LICEUL TEHNOLOGIC ”TASE DUMITRESCU” MIZIL",238,"ORAŞ MIZIL",131407,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:13:15",847,843,1,3,0,365,361,1,3,0,352,13,900,535,42,63,167,22,9,49
31,PRAHOVA,"LICEUL TEORETIC ” GRIGORE TOCILESCU” MIZIL",245,"ORAŞ MIZIL",131407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:35",1004,991,0,10,3,385,372,0,10,3,370,15,1100,715,65,48,153,29,13,62
31,PRAHOVA,"PRIMĂRIA ORAŞ MIZIL",241,"ORAŞ MIZIL",131407,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:36",1013,1006,0,7,0,427,420,0,7,0,408,19,1192,765,39,45,190,37,29,68
31,PRAHOVA,"PRIMĂRIA ORAŞ MIZIL",240,"ORAŞ MIZIL",131407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:48",997,991,0,5,1,430,424,0,5,1,420,10,1100,670,44,48,222,22,8,76
31,PRAHOVA,"SALA DE SPORT MIZIL",235,"ORAŞ MIZIL",131407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:36",1567,1557,0,10,0,611,601,0,10,0,558,53,1700,1089,58,85,295,32,19,69
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ NR.1 MIZIL",237,"ORAŞ MIZIL",131407,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:12:38",973,964,4,5,0,373,368,0,5,0,356,17,1100,727,33,28,172,27,35,61
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ” SFÂNTA MARIA ”MIZIL",243,"ORAŞ MIZIL",131407,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:35",952,946,0,5,1,367,361,0,5,1,324,43,1000,633,58,45,126,16,20,59
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ” SFÂNTA MARIA ”MIZIL",244,"ORAŞ MIZIL",131407,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:36:47",1046,1042,0,3,1,487,483,0,3,1,466,21,1100,613,69,57,185,31,38,86
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ” SFÂNTUL NICOLAE ”MIZIL",236,"ORAŞ MIZIL",131407,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:29",1245,1238,0,7,0,527,520,0,7,0,480,47,1400,873,70,57,199,26,10,118
