precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"CĂMIN CULTURAL DRÎMBAR",231,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:53",350,331,1,6,12,239,222,0,6,11,231,8,375,136,3,4,15,161,5,1,42
1,ALBA,"CĂMIN CULTURAL HĂPRIA",232,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:09",528,502,1,3,22,388,363,0,3,22,373,15,555,167,3,5,54,201,13,7,90
1,ALBA,"CĂMIN CULTURAL HOPÎRTA",266,HOPÂRTA,4703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:14",204,199,0,2,3,104,99,0,2,3,98,6,235,131,1,3,10,55,5,6,18
1,ALBA,"CĂMIN CULTURAL IZVOARELE",293,LIVEZILE,5167,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:31:15",94,72,0,11,11,63,41,0,11,11,58,5,100,37,3,0,3,39,0,0,13
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:01",267,244,0,16,7,214,191,0,16,7,207,7,293,79,0,1,5,113,1,78,9
1,ALBA,"CĂMIN CULTURAL LIMBA",233,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:27:45",343,325,7,5,6,220,206,3,5,6,203,17,370,150,2,8,28,108,15,4,38
1,ALBA,"CĂMIN CULTURAL LUNCA TÂRNAVEI",408,ŞONA,7865,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:32",324,312,1,7,4,200,189,0,7,4,193,7,341,141,3,4,9,111,4,4,58
1,ALBA,"CĂMIN CULTURAL MĂTIȘEȘTI",274,HOREA,4767,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:07",348,337,0,3,8,239,228,0,3,8,231,8,357,118,2,10,62,98,1,1,57
1,ALBA,"CĂMIN CULTURAL OBREJA",318,MIHALŢ,5700,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:20",450,421,0,15,14,288,259,0,15,14,280,8,482,194,1,6,27,160,7,1,78
1,ALBA,"CĂMIN CULTURAL POIANA AIUDULUI",294,LIVEZILE,5167,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:02:15",263,244,0,5,14,153,134,0,5,14,146,7,281,128,0,7,4,92,3,5,35
1,ALBA,"CĂMIN CULTURAL SÂNBENEDIC",251,FĂRĂU,4302,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:44",195,181,0,9,5,129,115,0,9,5,126,3,204,75,0,4,0,102,0,7,13
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:50:29",389,380,1,7,1,219,211,0,7,1,213,6,429,210,2,2,25,112,3,2,67
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:09:36",164,155,0,9,0,95,86,0,9,0,90,5,179,84,0,1,9,56,5,3,16
1,ALBA,"CĂMIN CULTURAL ȘEUȘA",234,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:24",741,685,3,3,50,511,458,0,3,50,490,21,750,239,1,7,96,284,30,4,68
1,ALBA,"CĂMIN CULTURAL ȘIBOT",401,ŞIBOT,7810,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:34:30",1204,1153,2,24,25,750,699,2,24,25,717,33,1280,530,5,23,164,205,29,9,282
1,ALBA,"CĂMIN CULTURAL ȘILEA",252,FĂRĂU,4302,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:46:56",260,243,0,5,12,177,160,0,5,12,168,9,270,93,0,2,3,79,4,13,67
1,ALBA,"CĂMIN CULTURAL SILIVAŞ",267,HOPÂRTA,4703,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:20:56",244,240,0,3,1,157,153,0,3,1,147,10,275,118,0,2,0,127,0,6,12
1,ALBA,"CĂMIN CULTURAL ŞPĂLNACA",268,HOPÂRTA,4703,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:44:06",137,128,0,7,2,80,71,0,7,2,78,2,160,80,0,0,8,55,1,1,13
1,ALBA,"CĂMIN CULTURAL TĂUNI",430,"VALEA LUNGĂ",8354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:32",241,227,0,8,6,131,117,0,8,6,121,10,245,114,0,2,41,56,1,2,19
1,ALBA,"CĂMIN CULTURAL TELEAC",235,CIUGUD,1071,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:15",362,347,0,2,13,263,248,0,2,13,249,14,420,157,1,10,26,126,8,2,76
1,ALBA,"CĂMIN CULTURAL TURDAŞ",269,HOPÂRTA,4703,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:19:45",133,127,0,3,3,78,72,0,3,3,70,8,160,82,1,3,10,35,3,1,17
1,ALBA,"CĂMIN CULTURAL VĂLIȘOARA",295,LIVEZILE,5167,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:49:24",139,118,0,10,11,109,88,0,10,11,84,25,140,31,1,3,8,42,4,3,23
1,ALBA,"CĂMIN CULTURAL VAMA SEACĂ",270,HOPÂRTA,4703,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:49:51",148,144,0,2,2,107,103,0,2,2,106,1,170,63,0,3,6,68,7,5,17
1,ALBA,"CĂMINUL CULTURAL",345,POŞAGA,6468,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:26:21",366,318,1,41,6,273,225,1,41,6,261,12,504,231,1,3,22,111,36,3,85
1,ALBA,"CĂMINUL CULTURAL",224,CERU-BĂCĂINŢI,3841,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:48",252,198,1,44,9,226,172,1,44,9,215,11,300,74,0,4,10,83,8,3,107
1,ALBA,"CĂMINUL CULTURAL ALBAC",184,ALBAC,2130,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:18:52",736,656,1,38,41,626,546,1,38,41,601,25,805,179,4,22,72,159,22,9,313
1,ALBA,"CĂMINUL CULTURAL ALECUŞ",406,ŞONA,7865,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:33",79,71,0,8,0,36,28,0,8,0,33,3,79,43,1,1,5,12,2,2,10
1,ALBA,"CĂMINUL CULTURAL ALMAȘU MARE - SUSENI",190,"ALMAŞU MARE",2309,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:53",210,200,0,7,3,152,142,0,7,3,144,8,223,71,0,7,18,49,14,2,54
1,ALBA,"CĂMINUL CULTURAL AVRAM IANCU",198,"AVRAM IANCU",2577,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:03:05",593,556,3,12,22,402,368,0,12,22,379,23,620,218,5,12,60,90,13,9,190
1,ALBA,"CĂMINUL CULTURAL BALOMIR",402,ŞIBOT,7810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:47",515,486,1,13,15,308,280,0,13,15,301,7,530,222,3,6,53,96,12,3,128
1,ALBA,"CĂMINUL CULTURAL BOZ",247,DOŞTAT,4268,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 15:20:48",402,393,0,4,5,278,269,0,4,5,269,9,440,162,0,3,4,169,6,6,81
1,ALBA,"CĂMINUL CULTURAL BUCERDEA GRÂNOASĂ",212,"BUCERDEA GRÂNOASĂ",9026,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:29:05",1050,1024,2,2,22,754,730,0,2,22,715,39,1200,446,5,14,196,217,22,197,64
1,ALBA,"CĂMINUL CULTURAL CĂPÎLNA DE JOS",289,JIDVEI,5103,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:47:47",640,605,0,9,26,414,379,0,9,26,403,11,717,303,3,14,61,266,5,10,44
1,ALBA,"CĂMINUL CULTURAL CIOARA DE SUS",121,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:33:08",188,173,0,7,8,116,101,0,7,8,109,7,210,94,0,2,60,21,4,1,21
1,ALBA,"CĂMINUL CULTURAL CIUGUDU DE JOS",420,UNIREA,8158,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:53:59",264,256,0,5,3,161,153,0,5,3,154,7,300,139,2,5,11,100,6,3,27
1,ALBA,"CĂMINUL CULTURAL ”EUGEN CURTA” GALTIU",386,SÂNTIMBRU,7384,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:32:18",400,393,0,2,5,242,235,0,2,5,235,7,433,191,4,16,42,101,18,2,52
1,ALBA,"CĂMINUL CULTURAL FEISA",290,JIDVEI,5103,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:59:34",595,574,0,3,18,401,380,0,3,18,382,19,679,278,1,11,23,252,7,5,83
1,ALBA,"CĂMINUL CULTURAL GĂBUD",328,NOŞLAC,6048,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:04",241,233,0,8,0,121,113,0,8,0,112,9,245,124,0,0,6,62,8,8,28
1,ALBA,"CĂMINUL CULTURAL GALDA DE JOS",253,"GALDA DE JOS",4366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:48:12",1593,1555,1,24,13,1027,990,0,24,13,988,39,1800,773,11,29,88,320,279,25,236
1,ALBA,"CAMINUL CULTURAL GEOGEL",344,PONOR,6397,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:33:14",221,181,1,32,7,171,131,1,32,7,153,18,235,64,1,5,21,99,3,1,23
1,ALBA,"CĂMINUL CULTURAL GEOMAL",400,STREMŢ,7767,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:26",245,230,0,4,11,173,158,0,4,11,165,8,250,77,0,0,19,48,2,6,90
1,ALBA,"CĂMINUL CULTURAL INOC",423,UNIREA,8158,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:40:00",162,156,0,5,1,84,78,0,5,1,79,5,180,96,0,8,16,25,7,2,21
1,ALBA,"CĂMINUL CULTURAL INURI",437,"VINŢU DE JOS",8826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:42:15",153,141,1,10,1,77,65,1,10,1,73,4,148,71,2,0,11,30,4,1,25
1,ALBA,"CĂMINUL CULTURAL JIDVEI",287,JIDVEI,5103,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:09:58",1110,1068,2,3,37,597,557,0,3,37,561,36,1194,597,3,5,62,381,21,16,73
1,ALBA,"CĂMINUL CULTURAL LUNCA AMPOIȚEI",311,METEŞ,5577,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:56:35",205,195,0,2,8,132,122,0,2,8,122,10,230,98,7,1,19,70,5,1,19
1,ALBA,"CĂMINUL CULTURAL LUPȘA",305,LUPŞA,5336,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:15:44",629,613,0,10,6,487,471,0,10,6,470,17,710,223,1,7,47,233,15,8,159
1,ALBA,"CĂMINUL CULTURAL MĂHĂCENI",424,UNIREA,8158,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:03",216,200,1,8,7,118,103,0,8,7,110,8,228,110,0,5,7,61,4,2,31
1,ALBA,"CĂMINUL CULTURAL MERETEU",438,"VINŢU DE JOS",8826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:26:40",188,180,1,7,0,125,118,0,7,0,124,1,189,64,1,3,23,42,0,3,52
1,ALBA,"CĂMINUL CULTURAL MUNCELU",122,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:03",278,275,0,2,1,179,176,0,2,1,175,4,300,121,1,7,58,42,9,8,50
1,ALBA,"CĂMINUL CULTURAL NECRILEȘTI",286,ÎNTREGALDE,4981,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:42:46",146,142,0,1,3,97,93,0,1,3,92,5,150,53,0,0,6,60,2,0,24
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:05:52",1286,1278,6,1,1,609,607,0,1,1,586,23,1400,791,19,27,102,242,52,6,138
1,ALBA,"CĂMINUL CULTURAL OIEJDEA",258,"GALDA DE JOS",4366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:31",660,649,1,6,4,436,426,0,6,4,414,22,750,314,2,14,24,125,78,116,55
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:47",98,90,0,8,0,56,48,0,8,0,55,1,100,44,1,2,6,22,1,4,19
1,ALBA,"CĂMINUL CULTURAL POIANA AMPOIULUI",312,METEŞ,5577,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:36:04",211,200,1,8,2,135,125,0,8,2,124,11,239,104,1,3,10,67,3,1,39
1,ALBA,"CĂMINUL CULTURAL PRESACA AMPOIULUI",313,METEŞ,5577,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:28",289,277,0,4,8,221,209,0,4,8,210,11,277,56,1,4,46,79,7,0,73
1,ALBA,"CĂMINUL CULTURAL RĂZBOIENI-CETATE",165,"ORAŞ OCNA MUREŞ",1794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:23:27",1027,1014,1,6,6,454,442,0,6,6,430,24,1200,746,1,14,32,122,111,16,134
1,ALBA,"CĂMINUL CULTURAL SÂNCEL",379,SÂNCEL,7348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:16:32",1308,1265,1,7,35,817,775,0,7,35,782,35,1413,596,0,20,134,304,28,2,294
1,ALBA,"CĂMINUL CULTURAL SÂNTIMBRU",383,SÂNTIMBRU,7384,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:03",457,446,0,2,9,247,236,0,2,9,236,11,503,256,1,11,41,105,1,9,68
1,ALBA,"CĂMINUL CULTURAL SARTĂŞ",123,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:33:46",296,291,0,2,3,133,128,0,2,3,131,2,320,187,1,4,59,32,9,1,25
1,ALBA,"CĂMINUL CULTURAL SCĂRIȘOARA",388,SCĂRIŞOARA,7197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:57:29",587,537,2,18,30,436,386,2,18,30,414,22,598,162,3,14,34,205,11,4,143
1,ALBA,"CĂMINUL CULTURAL SOHODOL",394,SOHODOL,7446,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:29",756,750,0,1,5,438,432,0,1,5,413,25,825,387,4,18,81,186,8,2,114
1,ALBA,"CĂMINUL CULTURAL STÂNA DE MUREȘ",329,NOŞLAC,6048,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:54:32",310,293,0,10,7,177,160,0,10,7,172,5,315,138,0,0,14,35,11,58,54
1,ALBA,"CĂMINUL CULTURAL VADU MOȚILOR",425,"VADU MOŢILOR",8229,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:41:06",1096,988,2,52,54,879,772,1,52,54,854,25,1201,322,6,15,125,385,22,6,295
1,ALBA,"CĂMINUL CULTURAL VESEUŞ",291,JIDVEI,5103,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:13:52",741,698,0,8,35,492,449,0,8,35,438,54,818,326,0,2,3,388,3,14,28
1,ALBA,"CĂMINUL CULTURAL VINŢU DE JOS",434,"VINŢU DE JOS",8826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:21",1089,1068,2,9,10,657,638,0,9,10,641,16,1271,614,15,37,134,177,46,17,215
1,ALBA,"CĂMINUL CULTURAL VURPĂR",440,"VINŢU DE JOS",8826,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:41:08",872,861,2,8,1,537,528,0,8,1,518,19,904,367,4,10,178,186,22,4,114
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:25",1277,1232,0,45,0,662,617,0,45,0,636,26,1400,738,12,18,70,316,93,19,108
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:21",717,707,0,10,0,283,273,0,10,0,277,6,800,517,4,10,28,128,38,11,58
1,ALBA,"CASA DE CULTURĂ ”ION SÂNGEREANU”",157,"ORAŞ OCNA MUREŞ",1794,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:12:12",1199,1179,2,5,13,555,536,1,5,13,537,18,1300,745,3,9,38,281,29,23,154
1,ALBA,"CASA DE CULTURĂ TEIUŞ",166,"ORAŞ TEIUŞ",8096,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:14",1526,1511,1,8,6,817,803,0,8,6,797,20,1672,855,4,31,157,228,27,35,315
1,ALBA,"CASĂ PARTICULARĂ",428,"VALEA LUNGĂ",8354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:19",167,155,0,8,4,124,112,0,8,4,120,4,170,46,0,0,35,61,2,2,20
1,ALBA,"CENTRU DE ZI PERSOANE VĂRSTNICE",385,SÂNTIMBRU,7384,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:36",74,68,0,3,3,49,43,0,3,3,47,2,76,27,0,0,3,38,2,0,4
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:17",786,772,1,8,5,435,422,0,8,5,427,8,800,365,2,12,25,242,51,19,76
1,ALBA,"CENTRUL CULTURAL ”VALENTIN URITESCU” AL ORAŞULUI CUGIR",145,"ORAŞ CUGIR",1696,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:33:58",1260,1247,1,10,2,562,550,0,10,2,539,23,1400,838,5,12,59,232,85,12,134
1,ALBA,"CENTRUL DE INFORMARE TURISTICĂ",324,MOGOŞ,5826,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:23:27",489,451,1,24,13,313,276,0,24,13,291,22,530,217,1,5,23,153,2,5,102
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:40:11",1760,1747,5,7,1,878,870,0,7,1,840,38,2001,1123,20,24,116,381,96,18,185
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ COLIBI (FOSTA ŞCOALĂ GENERALĂ)",335,OHABA,6164,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:17:03",21,20,0,1,0,12,11,0,1,0,9,3,38,26,0,0,2,6,0,0,1
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ (FOSTA ŞCOALĂ GENERALĂ CU CLASELE I-IV) PLAIURI",339,PIANU,6217,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:52:58",36,27,0,9,0,22,13,0,9,0,21,1,30,8,0,1,2,12,3,0,3
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ (FOSTĂ ŞCOALA GENERALĂ DOBRA)",415,ŞUGAG,8014,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:55",435,428,0,6,1,271,264,0,6,1,259,12,471,200,0,5,34,120,38,1,61
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ (FOSTĂ ŞCOALA GENERALĂ POIANA GALDEI)",259,"GALDA DE JOS",4366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:46",121,111,0,10,0,100,90,0,10,0,95,5,150,50,0,0,13,47,8,2,25
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ SĂRĂCSĂU (FOSTA ŞCOALĂ GENERALĂ)",404,ŞIBOT,7810,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:56",148,139,0,5,4,71,62,0,5,4,70,1,160,89,1,2,14,28,1,0,24
1,ALBA,"CLĂDIRE ANEXĂ PRIMĂRIA LOPADEA NOUĂ",298,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:13:41",416,400,5,2,9,261,247,3,2,9,253,8,457,196,0,0,11,148,1,47,46
1,ALBA,"CLĂDIRE ANEXĂ PRIMĂRIA LOPADEA NOUĂ",301,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:35:49",52,44,0,8,0,35,27,0,8,0,33,2,50,15,0,2,2,20,2,3,4
1,ALBA,"CLĂDIRE ANEXĂ PRIMĂRIA LOPADEA NOUĂ",300,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:32:58",536,517,0,6,13,419,400,0,6,13,400,19,579,160,6,3,14,316,6,22,33
1,ALBA,"CLĂDIRE CĂMIN CULTURAL BERGHIN",200,BERGHIN,2988,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:24:18",680,666,2,4,8,312,300,0,4,8,283,29,700,388,7,17,99,115,9,5,31
1,ALBA,"CLĂDIRE CĂMIN CULTURAL GHIRBOM",201,BERGHIN,2988,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:26:10",389,385,1,3,0,253,250,0,3,0,235,18,400,147,1,2,30,157,11,3,31
1,ALBA,"CLĂDIRE CĂMIN CULTURAL HENIG",202,BERGHIN,2988,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:05:14",213,204,0,5,4,140,131,0,5,4,136,4,300,160,1,6,29,49,6,6,39
1,ALBA,"CLĂDIRE CĂMIN CULTURAL LUPU",223,CERGĂU,3805,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:46:10",207,190,1,7,9,154,138,0,7,9,148,6,230,76,0,5,7,72,33,4,27
1,ALBA,"CLĂDIRE CĂMIN CULTURAL STRAJA",203,BERGHIN,2988,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:45",270,268,0,2,0,154,152,0,2,0,145,9,300,146,0,10,15,78,3,7,32
